id,university_short_name,program_source_code,major_code,subject_group_code
2f20f547-2bc1-4eda-8b00-779b6b5f5f26,CSH,7860100_Nu_8,7860100,C03
28e82f5d-8f39-4ac3-9b33-8e24b593f414,CSH,7860100_Nu_8,7860100,D01
599a6a7a-acbe-4a99-b5c8-1ed5dd8d4e4f,CSH,7860100_Nu_8,7860100,X02
2924084a-d403-42dc-b706-6084569b9f2a,CSH,7860100_Nu_8,7860100,X03
507c0449-6795-4433-94ac-d007c336d207,CSH,7860100_Nu_8,7860100,X04
b8a0131d-5a7e-40c7-b4f7-08497c53f463,ANH,7480202,7480202,A01
bee30a13-4e88-4bc5-957b-3153b4f835c2,ANH,7480202,7480202,A00
abff7067-0202-49f7-95f5-7f4cf2acd2a3,ANH,7720101,7720101,B00
ae14b567-3323-4a71-9a45-cbe0a51c7d34,ANH,7860100,7860100,A00
8d3714b2-bb05-4a2c-8d66-e2e30be7afa1,ANH,7860100,7860100,A01
6d4bf635-2a80-4f19-a94b-b82329e7fe76,ANH,7860100,7860100,C03
d1269998-63d1-4624-9117-172a61e30b8b,ANH,7860100,7860100,D01
69383f8d-2efe-411d-a23a-3a69f1b3f485,ANH,7860100,7860100,X02
77b37596-75bb-473d-bbe9-3c2d9c432fdb,ANH,7860100,7860100,X03
07d30ff2-de63-4d9e-a0e1-eb56385ae46e,ANH,7860100,7860100,X04
80d4bbda-fe60-40c1-9279-781cae389ec1,ANH,7480201_Nam,7480201,A00
602954d7-9428-468b-b061-77dde2459559,ANH,7480201_Nam,7480201,A01
ab37c21f-99f2-4a56-bdd6-12503fdfd5f3,ANH,7480201_Nam,7480201,K01
2500dc3d-5c59-45ad-bab4-13855c85daa3,ANH,7480201_Nam,7480201,K20
7f5f0131-2748-4109-9caf-a6aaff2efbee,ANH,7480201_Nam,7480201,X26
14306c3d-ad09-4153-abf1-971d866329bc,ANH,7480201_Nam,7480201,X27
cd6da60c-981a-4fce-98bf-da8b1625f49c,ANH,7480201_Nam,7480201,X28
626c8f9f-95d3-43f0-b189-292607bf99e3,ANH,7720101_Nam,7720101,A00
dcca49ed-623d-4e29-a31b-b9a6358a57be,ANH,7720101_Nam,7720101,B00
366a8559-f829-4896-be39-80f01dc43ed1,ANH,7720101_Nu,7720101,A00
28471e09-6544-401f-bff1-f697bec32f36,ANH,7720101_Nu,7720101,B00
202d0b0b-c10f-478a-81eb-98fcd589a207,ANH,7860100_Nam_1,7860100,A00
13ec2ce0-51de-4b7e-a5c9-0564e3f50365,ANH,7860100_Nam_1,7860100,A01
b82f37f2-8e0f-44cc-b294-af8099e8a8b6,ANH,7860100_Nam_1,7860100,C03
7d6822db-274c-455b-aefa-ec21fc569260,ANH,7860100_Nam_1,7860100,D01
1c029d2e-7ad1-4396-aee1-f633e5625e59,ANH,7860100_Nam_1,7860100,X02
4d8f5207-5f3a-44b5-adef-761014553a70,ANH,7860100_Nam_1,7860100,X03
