rating_rank,institution,university_code,final_rating_5,rating_type,vnur_score_1,admission_score_1,quality_teaching_score_1,research_innovation_score_1,learner_facilities_score_1,avg_admission_score_1,top10_admission_score_1,avg_thpt_score,top10_variant_avg_thpt_score,admission_latest_year,admission_source,vnur_source_institution,match_status
30,ĐH Văn hóa Hà Nội,VHH,3.7381,full,0.6059,0.8893,0.8021,0.4036,0.612,0.8753,0.9034,26.259,27.101,2025,THPT,Trường Đại học Văn hoá Hà Nội,matched
31,HV Phòng không - Không quân,PKH,3.7305,military_neutral,0.6618,0.8304,0.7435,0.6508,0.591,0.8304,0.8304,24.9125,24.9125,2025,THPT,,military_neutral
32,ĐH Thủy lợi,TLA,3.7207,full,0.7405,0.7478,0.9167,0.8906,0.4141,0.7025,0.7932,21.0747,23.795,2025,THPT,Trường Đại học Thuỷ Lợi,matched
33,Học viện Nông nghiệp Việt Nam,HVN,3.7121,full,0.7769,0.7079,0.8516,0.9167,0.5625,0.6812,0.7347,20.4368,22.04,2025,THPT,Học viện Nông nghiệp Việt Nam,matched
34,ĐH Khoa Học và Công Nghệ Hà Nội,KCN,3.6913,full,0.7639,0.7126,0.9792,0.6328,0.6797,0.685,0.7402,20.551,22.207,2025,THPT,Trường Đại học Khoa học và Công nghệ Hà Nội,matched
35,ĐH Kinh tế Kỹ thuật Công nghiệp,DKK,3.6743,full,0.6884,0.7814,0.7318,0.6901,0.6432,0.7467,0.816,22.4022,24.48,2025,THPT,Trường Đại học Kinh tế Kỹ thuật công nghiệp,matched
36,ĐH Công đoàn,LDA,3.6635,full,0.697,0.7683,0.7448,0.5781,0.7682,0.7369,0.7997,22.1082,23.992,2025,THPT,Trường Đại học Công đoàn,matched
37,ĐH Dược Hà Nội,DKH,3.6622,full,0.724,0.7409,0.8229,0.8281,0.5208,0.7409,0.7409,22.2275,22.2275,2025,THPT,Trường Đại học Dược Hà Nội,matched
38,Học viện Kỹ thuật Mật mã,KMA,3.6564,military_neutral,0.6618,0.8008,0.7435,0.6508,0.591,0.8008,0.8008,24.0233,24.0233,2025,THPT,,military_neutral
39,Học viện An ninh nhân dân,ANH,3.642,military_neutral,0.6618,0.795,0.7435,0.6508,0.591,0.7769,0.8132,23.3069,24.395,2025,THPT,,military_neutral
40,ĐH Kiểm sát Hà Nội,DKS,3.612,full,0.6163,0.8285,0.6797,0.3854,0.7839,0.8285,0.8285,24.855,24.855,2025,THPT,Trường Đại học Kiểm sát Hà Nội,matched
41,ĐH Phenikaa,PKA,3.59,full,0.7405,0.6955,0.5625,0.9505,0.7083,0.6461,0.745,19.3828,22.35,2025,THPT,Đại học Phenikaa,matched
42,Học viện Cảnh sát nhân dân,CSH,3.5738,military_neutral,0.6618,0.7677,0.7435,0.6508,0.591,0.7677,0.7677,23.0325,23.0325,2025,THPT,,military_neutral
43,Học viện Ngoại giao,HQT,3.5469,full,0.5816,0.8372,0.7995,0.4661,0.4792,0.8357,0.8387,25.07,25.16,2025,THPT,Học viện Ngoại giao,matched
44,ĐH Mỏ - Địa chất,MDA,3.5366,full,0.7109,0.7037,0.8646,0.875,0.3932,0.6257,0.7817,18.7713,23.45,2025,THPT,Trường Đại học Mỏ - Địa chất,matched
45,ĐH Công nghệ GTVT,GTA,3.4056,full,0.6426,0.7196,0.7151,0.776,0.4366,0.657,0.7823,19.7088,23.47,2025,THPT,TRƯỜNG ĐẠI HỌC CÔNG NGHỆ GIAO THÔNG VẬN TẢI (CÔNG LẬP),matched_alias
46,Học viện Quản lý Giáo dục,HVQ,3.3869,full,0.5894,0.7653,0.7214,0.4609,0.5859,0.7653,0.7653,22.96,22.96,2025,THPT,Học viện Quản lý Giáo dục,matched
47,ĐH Y tế Công cộng,YTC,3.3862,full,0.6675,0.6869,0.6849,0.75,0.5677,0.6869,0.6869,20.6083,20.6083,2025,THPT,Trường Đại học Y tế Công cộng,matched
48,ĐH Điện lực,DDL,3.327,full,0.6094,0.7214,0.7526,0.6953,0.3802,0.6827,0.7601,20.4822,22.804,2025,THPT,Trường Đại học Điện lực,matched
49,ĐH Kiến trúc Hà Nội,KTA,3.324,full,0.6606,0.669,0.7031,0.6927,0.5859,0.6409,0.6971,19.2267,20.913,2025,THPT,Trường Đại học Kiến trúc Hà Nội,matched
50,Học viện Phụ nữ Việt Nam,HPN,3.3147,full,0.4991,0.8267,0.7396,0.3542,0.4036,0.8169,0.8366,24.5067,25.097,2025,THPT,Học viện Phụ nữ Việt Nam,matched
51,ĐH Tài nguyên & Môi trường,DMT,3.2849,full,0.5538,0.7602,0.6979,0.7188,0.2448,0.668,0.8523,20.0396,25.57,2025,THPT,Trường Đại học Tài nguyên và Môi trường Hà Nội,matched_alias
52,Học viện Chính sách và Phát triển,HCP,3.2662,full,0.5278,0.7787,0.625,0.2943,0.6641,0.765,0.7924,22.95,23.772,2025,THPT,Học viện Chính sách và Phát triển,matched
53,Trường Sĩ quan Lục quân 1,LAH,3.2261,military_neutral,0.6618,0.6287,0.7435,0.6508,0.591,0.6287,0.6287,18.86,18.86,2025,THPT,,military_neutral
54,Học viện Tòa án,HTA,3.2109,full,0.5355,0.7488,0.2603,0.4084,0.9379,0.7488,0.7488,22.465,22.465,2025,THPT,Học viện Toà án (Công lập),matched
55,ĐH Thăng Long,DTL,3.0797,full,0.5234,0.7084,0.7786,0.4505,0.3411,0.6699,0.7469,20.0982,22.408,2025,THPT,Trường Đại học Thăng Long,matched
56,ĐH Mở Hà Nội,MHN,3.0787,full,0.5217,0.7098,0.6901,0.5339,0.3411,0.6834,0.7361,20.5029,22.084,2025,THPT,Trường Đại học Mở Hà Nội,matched
57,ĐH FPT Hà Nội,FPT,3.0738,full,0.5295,0.7,0.5911,0.5729,0.4245,0.7,0.7,21.0,21.0,2024,THPT,Trường Đại học FPT,matched_alias
58,ĐH Lâm Nghiệp,LNH,2.9874,full,0.6424,0.5526,0.5443,0.7839,0.599,0.5345,0.5707,16.0357,17.12,2025,THPT,Trường Đại học Lâm nghiệp,matched
59,ĐH Hà Nội,NHF,2.9073,vnur_imputed,0.4255,0.7375,0.5735,0.3552,0.3477,0.694,0.781,20.8193,23.429,2025,THPT,,not_in_vnur_imputed
60,ĐH Lao động Xã hội,DLX,2.839,full,0.5582,0.5774,0.7578,0.6172,0.2995,0.5553,0.5996,16.6587,17.988,2025,THPT,Trường Đại học Lao động - Xã hội,matched
61,ĐH Tài Chính Ngân Hàng HN,FBU,2.8,full,0.4275,0.6925,0.4636,0.1405,0.6783,0.6925,0.6925,20.775,20.775,2025,THPT,TRƯỜNG ĐẠI HỌC TÀI CHÍNH - NGÂN HÀNG HÀ NỘI (TƯ THỤC),matched_alias
62,ĐH CMC,CMC,2.7786,full,0.4462,0.6653,0.4219,0.2943,0.6224,0.6564,0.6741,19.6929,20.223,2025,THPT,Trường Đại học CMC,matched
63,ĐH Sư Phạm Nghệ Thuật Trung Ương,GNT,2.7512,vnur_imputed,0.4255,0.675,0.5735,0.3552,0.3477,0.675,0.675,20.25,20.25,2025,THPT,,not_in_vnur_imputed
64,HV Thanh thiếu niên Việt Nam,HTN,2.6708,full,0.2783,0.79,0.4725,0.1415,0.221,0.79,0.79,23.7,23.7,2025,THPT,Học viện Thanh thiếu niên Việt Nam (Công lập),matched
65,ĐH Nội vụ,DNV,2.5729,full,0.2702,0.759,0.382,0.1094,0.3192,0.6996,0.8183,20.9886,24.55,2022,THPT,Trường Đại học Nội vụ Hà Nội (Công lập),matched_alias
66,ĐH Công nghiệp Việt Hung,VHD,2.4761,full,0.4444,0.546,0.6042,0.1979,0.5312,0.5444,0.5477,16.3308,16.43,2025,THPT,Trường Đại học Công nghiệp Việt - Hung,matched
67,ĐH Công nghiệp Dệt may HN,CCM,2.4686,vnur_imputed,0.4255,0.562,0.5735,0.3552,0.3477,0.5606,0.5633,16.8182,16.9,2025,THPT,,not_in_vnur_imputed
68,ĐH Thành Đô,TDD,2.4256,vnur_imputed,0.4255,0.5448,0.5735,0.3552,0.3477,0.5429,0.5467,16.2857,16.4,2025,THPT,,not_in_vnur_imputed
69,ĐH Công nghệ và Quản lí hữu nghị,DCQ,2.4235,vnur_imputed,0.4255,0.5439,0.5735,0.3552,0.3477,0.5412,0.5467,16.2353,16.4,2025,THPT,,not_in_vnur_imputed
70,ĐH Hoà Bình,ETU,2.409,vnur_imputed,0.4255,0.5381,0.5735,0.3552,0.3477,0.5246,0.5517,15.7381,16.55,2025,THPT,,not_in_vnur_imputed
71,ĐH Nguyễn Trãi,NTU,2.3412,vnur_imputed,0.4255,0.511,0.5735,0.3552,0.3477,0.511,0.511,15.33,15.33,2025,THPT,,not_in_vnur_imputed
72,ĐH Đông Đô,DDU,2.3345,vnur_imputed,0.4255,0.5083,0.5735,0.3552,0.3477,0.5,0.5167,15.0,15.5,2025,THPT,,not_in_vnur_imputed
73,ĐH Mỹ thuật Việt Nam,MTH,2.312,full,0.1661,0.7586,0.3622,0.1159,0.0203,0.7586,0.7586,22.7595,22.7595,2025,HBA,Trường Đại học Mỹ thuật Việt Nam (Công lập),matched
74,ĐH Kinh doanh & Công nghệ,DQK,2.2872,full,0.3044,0.6105,0.5229,0.1612,0.2289,0.591,0.63,17.7308,18.9,2025,THPT,TRƯỜNG ĐẠI HỌC KINH DOANH VÀ CÔNG NGHỆ HÀ NỘI (TƯ THỤC),matched_alias
75,ĐH Công nghệ Đông Á,DDA,1.9864,full,0.212,0.5825,0.636,0.0,0.0,0.5784,0.5867,17.3529,17.6,2024,THPT,Trường Đại học Công nghệ Đông Á (Tư thục),matched
76,ĐH Phương Đông,DPD,1.7252,full,0.163,0.5271,0.489,0.0,0.0,0.5208,0.5333,15.625,16.0,2025,THPT,Trường Đại học dân lập Phương Đông (Tư thục),matched
