id,university_short_name,major_code,program_source_code,program_name,quota,source,source_school_id,is_active
69688848-6850-591d-88cd-9d8fd09de60c,BKA,IT-E7,IT-E7,Công nghệ Thông tin Global ICT (CT tiên tiến),160,tuyensinh247,302,true
202dfc34-5a2c-5b5c-8181-3744b943641d,BKA,IT-EP,IT-EP,Công nghệ Thông tin Việt - Pháp (tăng cường tiếng Pháp),40,tuyensinh247,302,true
951ec60c-e9de-5777-a102-db51088af9a6,BKA,IT1,IT1,CNTT: Khoa học Máy tính,300,tuyensinh247,302,true
08dd2f4c-e1c5-5bf8-b81d-c0b770a60a83,BKA,IT2,IT2,CNTT: Kỹ thuật Máy tính,200,tuyensinh247,302,true
39a2b6d3-4529-5afb-86a2-66ab0b695e63,BKA,ME-E1,ME-E1,Kỹ thuật Cơ điện tử (CT tiên tiến),180,tuyensinh247,302,true
f69d8c21-8919-501b-ab1b-10abccb33adb,BKA,ME-GU,ME-GU,Cơ khí Chế tạo máy - hợp tác với trường ĐH Griffith (Úc),40,tuyensinh247,302,true
1301195c-d702-5223-9abf-5aeb4abdac5e,BKA,ME-LUH,ME-LUH,Cơ điện tử - hợp tác với ĐH Leibniz Hannover (CHLB Đức),50,tuyensinh247,302,true
d846f8fd-17e0-5575-902e-f473fdefb9b7,BKA,ME-NUT,ME-NUT,Cơ điện tử - hợp tác với ĐHCN Nagaoka (Nhật Bản),100,tuyensinh247,302,true
30ae3985-f5bf-5bb8-88f5-8839359338b4,BKA,ME1,ME1,Kỹ thuật Cơ điện tử,300,tuyensinh247,302,true
d87ac3c3-196b-59d8-bb43-b9702e92150f,BKA,ME2,ME2,Kỹ thuật Cơ khí,560,tuyensinh247,302,true
44810dd2-fbce-5fe5-9689-7f67940bb0d2,BKA,MI-E22,MI-E22,Khoa học tính toán cho các hệ thống thông minh (mới) (CT tiên tiến),40,tuyensinh247,,true
64c10856-1ba3-524c-b626-80cbe8e45b42,BKA,MI1,MI1,Toán-Tin,160,tuyensinh247,302,true
7476a86b-0441-5f20-bcac-f9517aff5bb7,BKA,MI2,MI2,Hệ thống Thông tin quản lý,80,tuyensinh247,302,true
39369f61-9978-5fcd-8af6-42dafe41457c,BKA,MS-E3,MS-E3,Khoa học và Kỹ thuật Vật liệu (CT tiên tiến),60,tuyensinh247,302,true
cfa9b495-459d-554c-bd13-a000b155a470,BKA,MS1,MS1,Kỹ thuật Vật liệu,280,tuyensinh247,302,true
be63440a-484f-5e6e-8b80-0aa7178f273e,BKA,MS2,MS2,Kỹ thuật Vi điện tử và Công nghệ nano,180,tuyensinh247,302,true
6e55a0f6-5547-5eeb-9917-5da277f5e082,BKA,MS3,MS3,Công nghệ vật liệu Polyme và Compozit,80,tuyensinh247,302,true
4ae06dd5-3be7-59ee-a0cb-8e791379668a,BKA,MS5,MS5,Kỹ thuật In,60,tuyensinh247,302,true
