code,name,field_code,description
KTEH1,Chương trình tiêu chuẩn Thương mại quốc tế,khac,
MIW,Hộ Sinh,khac,
MK,Digital Marketing,khac,
MKTH2,Chương trình ĐHNNQT Marketing số,khac,
MSE-IC,Chip Bán Dẫn Và Công Nghệ Đóng Gói,khac,
NNNH1,Chương trình tiêu chuẩn Tiếng Nhật thương mại,khac,
NNNH2,Chương trình CLC ngành Tiếng Nhật thương mại,khac,
NNPH1,CT Tích hợp tiếng Pháp thương mại,khac,
NNPH2,Chương trình CLC Tiếng Pháp thương mại,khac,
NNTH1,Chương trình tiêu chuẩn Tiếng Trung Thương mại,khac,
NNTH2,CT CLC Tiếng Trung thương mại,khac,
NS,An ninh Mạng *,khac,
NTH04,Ngôn ngữ Anh,khac,
NTH05,Ngôn Ngữ Pháp,khac,
NTH06,Ngôn ngữ Trung,khac,
NTH07,Ngôn ngữ Nhật,khac,
PHA1,Dược Học,khac,
POHE2,Quản trị lữ hành,khac,
POHE6,Quản lý thị trường,khac,
POHE7,Thẩm định giá,khac,
PR,Quan hệ Công chúng *,khac,
QHQ05,Phân tích dữ liệu kinh doanh,khac,
QHQ06,"Marketing (song bằng do ĐHQGHN và Đại học HELP, Malaysia cùng cấp bằng)",khac,
QHQ07,"Quản lý (song bằng do ĐHQGHN và Đại học Keuka, Hoa Kỳ cùng cấp bằng)",khac,
QHQ13,Kinh doanh số,khac,
QHT01,Toán học,khac,
QHT08,Sinh học,khac,
QHT10,Địa lý tự nhiên,khac,
QHT12,Quản lý đất đai,khac,
QHT16,Khí tượng và khí hậu học,khac,
QHT17,Hải dương học,khac,
QHT18,Địa chất học,khac,
QHT44,Sinh học,khac,
QHT81,Sinh dược học,khac,
QHT95,Quản lý phát triển đô thị và bất động sản,khac,
QHX02,Chính trị học,khac,
QHX03,Công tác xã hội,khac,
QHX04,"Điện ảnh và nghệ thuật đại chúng (ngành Lý luận, lịch sử và phê bình điện ảnh, truyền hình) (dự kiến)",khac,
QHX05,Đông Nam Á học,khac,
QHX06,Đông phương học,khac,
QHX07,Hán Nôm,khac,
QHX08,Hàn Quốc học,khac,
QHX10,Lịch sử,khac,
QHX12,Ngôn ngữ học,khac,
QHX13,Nhân học,khac,
QHX14,Nhật Bản học,khac,
QHX15,Quan hệ công chúng,khac,
QHX16,Quản lý thông tin,khac,
QHX19,Quản trị văn phòng,khac,
QHX21,Tâm lý học,khac,
