major_code,subject_group_code
7480201_CLC,Q00
7480201_CLC,X06
7480201_CLC,X26
7480201_UDU,A00
7480201_UDU,A01
7480201_UDU,K00
7480201_UDU,Q00
7480201_UDU,X06
7480201_UDU,X26
7480201_VNH,A00
7480201_VNH,A01
7480201_VNH,K00
7480201_VNH,Q00
7480201_VNH,X06
7480201_VNH,X26
7320104_CLC,A00
7320104_CLC,A01
7320104_CLC,D01
7320104_CLC,K00
7320104_CLC,Q00
7320104_CLC,X06
7320104_CLC,X26
7340101_LOG,A00
7340101_LOG,A01
7340101_LOG,D01
7340101_LOG,K00
7340101_LOG,Q00
7340101_LOG,X06
7340101_LOG,X26
7480107,A00
7480107,A01
7480107,K00
7480107,Q00
7480107,X06
7480107,X26
7480202_CLC,A00
7480202_CLC,A01
7480202_CLC,K00
7480202_CLC,Q00
7480202_CLC,X06
7480202_CLC,X26
7510301_MBD,A00
7510301_MBD,A01
7510301_MBD,K00
7510301_MBD,Q00
7510301_MBD,X06
7510301_MBD,X26
7520207_AIoT,A00
7520207_AIoT,A01
7520207_AIoT,K00
7520207_AIoT,Q00
7520207_AIoT,X06
7520207_AIoT,X26
7329001_LK,A00
7329001_LK,A01
7329001_LK,D01
7329001_LK,K00
7329001_LK,Q00
7329001_LK,X06
7329001_LK,X26
7340205_LK,A00
7340205_LK,A01
7340205_LK,D01
7340205_LK,K00
7340205_LK,Q00
7340205_LK,X06
7340205_LK,X26
7480201_LK,A00
7480201_LK,A01
7480201_LK,K00
7480201_LK,Q00
7480201_LK,X06
7480201_LK,X26
7860220,A00
7860220,A01
7860220,Q00
QS,A00
QS,A01
QS,Q00
7220201,D10
7310106,D03
7310106,D04
7310106,D06
7310106,D09
7310106,D10
7310206,A00
7310206,A01
7310206,D03
7310206,D04
7310206,D06
7310206,D07
7310206,D09
7310206,D10
7310206,D14
7310206,D15
7320107,A00
7320107,A01
7320107,C00
7320107,D03
7320107,D04
7320107,D06
7320107,D07
7320107,D09
7320107,D10
7340120,A00
7340120,A01
7340120,D01
7340120,D03
7340120,D04
7340120,D06
7340120,D07
7340120,D09
7340120,D10
7380108,A00
7380108,A01
7380108,C00
7380108,D01
7380108,D03
7380108,D04
7380108,D06
7380108,D07
7380108,D09
7380108,D10
7380108,D14
7380108,D15
HQT01,A00
HQT01,A01
HQT01,C00
HQT01,D01
HQT01,D03
HQT01,D04
HQT01,D06
HQT01,D07
HQT01,D09
HQT01,D10
HQT01,D14
HQT01,D15
HQT02,A01
HQT02,D01
HQT02,D07
HQT02,D09
HQT02,D10
HQT02,D14
HQT02,D15
HQT03,A00
HQT03,A01
HQT03,D01
HQT03,D03
HQT03,D04
HQT03,D06
HQT03,D07
HQT03,D09
HQT03,D10
HQT04,A00
HQT04,A01
HQT04,C00
HQT04,D01
HQT04,D03
HQT04,D04
HQT04,D06
HQT04,D07
HQT04,D09
HQT04,D10
HQT04,D14
HQT04,D15
HQT05,A00
HQT05,A01
HQT05,C00
HQT05,D01
HQT05,D03
HQT05,D04
HQT05,D06
HQT05,D07
HQT05,D09
HQT05,D10
HQT05,D14
HQT05,D15
HQT06,A00
HQT06,A01
HQT06,D01
HQT06,D03
HQT06,D04
HQT06,D06
HQT06,D07
HQT06,D09
HQT06,D10
HQT07,A00
HQT07,A01
HQT07,C00
HQT07,D01
HQT07,D03
HQT07,D04
HQT07,D06
HQT07,D07
HQT07,D09
HQT07,D10
HQT07,D14
HQT07,D15
HQT08-01,A00
HQT08-01,A01
HQT08-01,C00
HQT08-01,D01
HQT08-01,D07
HQT08-01,D09
HQT08-01,D10
HQT08-01,D14
HQT08-01,D15
HQT08-02,A00
HQT08-02,A01
HQT08-02,C00
HQT08-02,D01
HQT08-02,D07
HQT08-02,D09
HQT08-02,D10
HQT08-02,D14
HQT08-02,D15
HQT08-03,A00
HQT08-03,A01
HQT08-03,C00
HQT08-03,D01
HQT08-03,D06
HQT08-03,D07
HQT08-03,D09
HQT08-03,D10
HQT08-03,D14
HQT08-03,D15
HQT08-04,A00
HQT08-04,A01
HQT08-04,C00
HQT08-04,D01
HQT08-04,D04
HQT08-04,D07
HQT08-04,D09
HQT08-04,D10
HQT08-04,D14
HQT08-04,D15
HVN01,A00
HVN01,A01
HVN01,B00
HVN01,B08
HVN01,C03
HVN01,C04
