id,university_short_name,program_source_code,major_code,subject_group_code
8c6c68e7-94bb-4af5-9f2b-a0a70c74b47f,CSH,7860100_Nu_8,7860100,X03
bb442174-cf60-413d-a48d-ad3c59f4c94c,CSH,7860100_Nu_8,7860100,X04
c09910b9-8eb6-49f0-bb5a-1b4c2c5b157a,ANH,7480202,7480202,A00
e40cd17c-1618-4f94-af86-7c1e9fc20c81,ANH,7480202,7480202,A01
b9d5b36d-0898-4f97-b608-31867417a5ab,ANH,7720101,7720101,B00
14748c4d-97ba-46ee-b075-3e85917f8902,ANH,7860100,7860100,A01
114a7c93-af28-4e66-ac07-debe5287f8e4,ANH,7860100,7860100,A00
94b6314e-1492-43ba-a4aa-6296704353e2,ANH,7860100,7860100,C03
fb9e365b-1a7b-4bfa-9919-61a375b3e883,ANH,7860100,7860100,D01
ad70cadd-3d95-4b12-9feb-d553f042b4f3,ANH,7480201_Nam,7480201,A00
0f16602b-1bcd-411b-8923-e89eea688f3a,ANH,7480201_Nam,7480201,A01
6274aeee-eee2-42c2-9b60-af49417791e2,ANH,7720101_Nam,7720101,A00
6dffafb0-7bbc-4499-972b-67f4132212b4,ANH,7720101_Nam,7720101,B00
72782922-5268-42dd-a7ce-10f4c05659fa,ANH,7720101_Nu,7720101,A00
224c6fd7-edd2-4437-80e0-c96a9c3c1e1a,ANH,7720101_Nu,7720101,B00
1c3ceb37-2431-4723-afef-9392e136f1f1,ANH,7860100_Nam_1,7860100,A00
97a5698d-a31f-413d-aa04-eb4aae44c93b,ANH,7860100_Nam_1,7860100,A01
4262f3d9-e773-4306-b012-04662c710879,ANH,7860100_Nam_1,7860100,C03
89719552-c2c3-46e8-af91-2538546364f3,ANH,7860100_Nam_1,7860100,D01
b6c42870-d005-45cc-ad90-8a3b99f2a079,ANH,7860100_Nam_2,7860100,A00
600e1b65-66cb-42f0-981a-3a6d1205ea17,ANH,7860100_Nam_2,7860100,A01
ed9d2e8a-319b-4b68-8bd9-322ba75ac9a2,ANH,7860100_Nam_2,7860100,C03
43a04fc9-c513-4484-abb4-4c59f9d991ef,ANH,7860100_Nam_2,7860100,D01
1a657247-2f46-4d5a-8793-ebfb4f64f5bd,ANH,7860100_Nam_3,7860100,A00
f2d5d8b9-6547-4b9d-8fc4-5ecc3ae96e36,ANH,7860100_Nam_3,7860100,A01
bf47ca9d-495e-4b08-a0d9-2eb6e8967aea,ANH,7860100_Nam_3,7860100,C03
78207acb-6968-48bb-b895-c21d2a72a710,ANH,7860100_Nam_3,7860100,D01
0a1e9e08-817e-4ce9-9c4f-819647ffbb30,ANH,7860100_Nam_8,7860100,A00
5123b8d3-169e-4652-aa73-9e515738e6f9,ANH,7860100_Nam_8,7860100,A01
b7514832-77a2-411f-957a-3b2c674f1350,ANH,7860100_Nam_8,7860100,C03
69c58585-eac3-476b-a254-a9d0c4118bbc,ANH,7860100_Nam_8,7860100,D01
d71d5d06-09cc-4645-bf22-66dbb4b000b0,ANH,7860100_Nu_1,7860100,A00
67c3c5e0-036c-4b4b-8e4e-1fc81c5c8747,ANH,7860100_Nu_1,7860100,A01
73c9eede-8c41-48cb-a68c-b383753c6701,ANH,7860100_Nu_1,7860100,C03
027bc0b6-a785-4c7c-a355-f6bb4fe33dcb,ANH,7860100_Nu_1,7860100,D01
2b3f909e-0f89-4cee-b769-1a633ba0aa79,ANH,7860100_Nu_2,7860100,A00
3e2591cd-ff51-48a8-9415-661c6468edab,ANH,7860100_Nu_2,7860100,A01
1c21cec9-d290-430c-9dc9-a24a985de6c4,ANH,7860100_Nu_2,7860100,C03
3943a82c-6b81-4e6a-9686-e5bcc63604e5,ANH,7860100_Nu_2,7860100,D01
dce0a59c-f425-4f12-bfa0-4e7ef952a4ef,ANH,7860100_Nu_3,7860100,A00
680d8cd6-cc39-4776-a030-923799584c00,ANH,7860100_Nu_3,7860100,A01
44387644-1cbc-4b76-bbc5-86944c50a3fc,ANH,7860100_Nu_3,7860100,C03
43ef7a58-cdd3-4cf0-b213-181aba9c59dd,ANH,7860100_Nu_3,7860100,D01
6bfa111d-ec84-4dc8-8553-a3554b21c7bc,ANH,7860100_Nu_8,7860100,A00
1ac2f4ec-f1c1-457c-baf1-f0ea0a4b13f8,ANH,7860100_Nu_8,7860100,A01
298a9baa-6727-4984-bd9c-e342c5b0bc86,ANH,7860100_Nu_8,7860100,C03
9b54d12b-5a92-48d9-9f25-2396717504c4,ANH,7860100_Nu_8,7860100,D01
3a5e415c-3d74-444f-bb0c-5ae87693fdc1,ANH,7860114_Nam_B,7860114,A00
a1b53833-ff09-48bf-a264-db466aa5aed8,ANH,7860114_Nam_B,7860114,A01
23f08d97-7936-4f27-a896-6b80f69b7918,ANH,7860114_Nam_N,7860114,A00
c1f9584e-fae2-4d74-9e92-e536309fe98a,ANH,7860114_Nam_N,7860114,A01
9f4fe9d6-8125-42ad-a693-023edfa91671,ANH,7860114_Nu_B,7860114,A00
9ccf0da5-181e-447a-ac41-30fef326aff9,ANH,7860114_Nu_B,7860114,A01
fc144ef3-1680-4141-9dab-23bc3651aa3d,ANH,7860114_Nu_N,7860114,A00
b65a9e0f-a841-4878-b9e6-a9e7acc3d301,ANH,7860114_Nu_N,7860114,A01
0bb0d4c1-6729-493d-92ad-2e82f96a501d,ANH,7480201_Nam,7480201,X26
5d248924-f06a-4023-b5bc-edfb9508384e,ANH,7480201_Nam,7480201,X27
b4819f9a-b461-4738-a731-aa77f043fef7,ANH,7480201_Nam,7480201,X28
976ebb86-c8f9-4328-881b-6555e5f99165,ANH,7860100_Nam_1,7860100,X02
b86fec6c-6a79-4023-8b72-65af22b3b8c4,ANH,7860100_Nam_1,7860100,X03
1688efc8-65a7-444d-903a-1dffee016a02,ANH,7860100_Nam_1,7860100,X04
a893317c-8851-4056-8530-a76f16ec6af8,ANH,7860100_Nam_2,7860100,X02
ba9d9653-b190-4ef4-be23-f49b28dd1f1b,ANH,7860100_Nam_2,7860100,X03
9a33fce9-cd9c-4855-925e-58787460a080,ANH,7860100_Nam_2,7860100,X04
4d8f5b80-577d-460f-8a3f-0f6144dcbe11,ANH,7860100_Nam_3,7860100,X02
be36a668-df74-4ea9-aab3-b8f16d4cd01b,ANH,7860100_Nam_3,7860100,X03
a6f3de10-46da-4e7c-9383-bcf236f362c3,ANH,7860100_Nam_3,7860100,X04
5ba8a879-99eb-4079-990a-5a7830ae5ae9,ANH,7860100_Nam_8,7860100,X02
6e9fc2e8-a1c1-4d17-87d3-0547138ebb0b,ANH,7860100_Nam_8,7860100,X03
4a721e56-2719-45c0-903f-4a11e3fdf15c,ANH,7860100_Nam_8,7860100,X04
cbf8fd8a-059d-48fa-bb5d-b5e342d64a92,ANH,7860100_Nu_1,7860100,X02
cccbfd6d-718c-4f76-b4b0-8a95492e560c,ANH,7860100_Nu_1,7860100,X03
c012e68e-0adc-4e23-82c4-77a855c415a6,ANH,7860100_Nu_1,7860100,X04
5101dbdc-ddbc-4cdf-b7e6-0b96fd962220,ANH,7860100_Nu_2,7860100,X02
bdfea069-4333-429b-ab88-b1fb7072fc2a,ANH,7860100_Nu_2,7860100,X03
121def93-6fff-42af-9bab-c814e53e486a,ANH,7860100_Nu_2,7860100,X04
207061ee-38c4-4797-b488-6f898d3b8535,ANH,7860100_Nu_3,7860100,X02
a5626590-94e3-465b-bafb-181985eefe23,ANH,7860100_Nu_3,7860100,X03
f097fd95-e4b5-4e9c-be5f-09fd3ffcd6f9,ANH,7860100_Nu_3,7860100,X04
e423d19d-f28b-4c2b-b3b0-d0101b7d8dc1,ANH,7860100_Nu_8,7860100,X02
3c640a01-1d33-4ee1-8f9f-3f5f7d38f4bd,ANH,7860100_Nu_8,7860100,X03
e838c73b-2bec-4898-8a6d-eb0bb3e6f48b,ANH,7860100_Nu_8,7860100,X04
5faf3d49-6460-4a32-a94b-0e3b3b81f98e,ANH,7860114_Nam_B,7860114,X26
b078ba32-e8db-4e82-b106-f3c48ce3432c,ANH,7860114_Nam_B,7860114,X27
aa3585ee-941d-487c-b719-759949e91f18,ANH,7860114_Nam_B,7860114,X28
a7d651dd-daa4-4ab0-b2b6-f805c966f6b3,ANH,7860114_Nam_N,7860114,X26
de4545ed-dcdd-4046-8be3-051f25f65cba,ANH,7860114_Nam_N,7860114,X27
0b491d24-b57c-45c5-ba99-aab299d0b802,ANH,7860114_Nam_N,7860114,X28
14e26f37-af47-49ac-8416-36bb0cdb44da,ANH,7860114_Nu_B,7860114,X26
64927858-0e73-4be4-a91e-b05a6a63650e,ANH,7860114_Nu_B,7860114,X27
f715b8ad-9094-4da3-a1b3-a62d0b72e2ae,ANH,7860114_Nu_B,7860114,X28
509ed854-b732-4cf5-9515-78a4b93269a3,ANH,7860114_Nu_N,7860114,X26
1b68dc6b-8bc7-4df6-a676-284183f78581,ANH,7860114_Nu_N,7860114,X27
bc26154f-6f08-4a08-9e6d-10157c33539d,ANH,7860114_Nu_N,7860114,X28
caa05a35-166a-4c51-b4ce-813e9cf0ab99,BPH,7380101,7380101,C00
eaa8d029-b527-46d3-afca-c128f176298a,BPH,7860214,7860214,A01
5e83357b-8378-4aae-9960-8766068db26a,BPH,7860214,7860214,C00
0972d629-179d-4246-96e0-9d581f073d89,BPH,7380101_B,7380101,C00
e7b28844-331e-4d5d-b2ea-63f2e33857ac,BPH,7380101_N,7380101,C00
b9b598e6-22be-4315-a4fb-26af18426f92,BPH,7860214_A01_4,7860214,C03
b0cd0e4c-14c2-4fc2-9204-64f99e4b71eb,BPH,7860214_A01_5,7860214,C03
de700462-1669-4da3-a45d-f919498f806a,BPH,7860214_A01_7,7860214,C03
b5eeccbe-260e-4d91-a188-447a9f61e495,BPH,7860214_A01_9,7860214,C03
d61bce7f-842b-4ec1-b8b2-475cb31ea658,BPH,7860214_B_A01,7860214,A01
c84b4f12-4c79-41b5-92b0-5e4d62b73499,BPH,7860214_B_C00,7860214,C00
c10234c5-b019-4923-a7f9-e607b6a60c6f,BPH,7860214_C00_4,7860214,C03
e903a603-441f-4e3c-8abe-66b81fe7c219,BPH,7860214_C00_5,7860214,C03
7157f5a6-6db5-42cc-863b-d0d0d38125bf,BPH,7860214_C00_7,7860214,C03
640c143b-3973-42cb-9695-4fb3fa769a5d,BPH,7860214_C00_9,7860214,C03
a0100e4a-894c-4fcc-a515-949ff70354db,BPH,7380101_B_C00,7380101,C00
d13d00f2-c671-4cc8-a1f2-d7e71ba0e1b6,BPH,7380101_B_C01,7380101,C01
c999f961-088c-4442-b239-0d3b4e5f45e8,BPH,7380101_B_C01,7380101,D01
8bac8efa-3317-4bb5-a916-5a86615f1da6,BPH,7380101_B_C03,7380101,C03
133a9336-ecb2-4797-9852-c438d6fc33eb,BPH,7380101_N_C01,7380101,C01
1c7aa601-8209-47ab-9abe-ae1a93b765bb,BPH,7380101_N_C01,7380101,D01
94db0939-16b0-43d3-9540-91042f45c266,BPH,7380101_N_C03,7380101,C03
52accb04-c9f6-42c7-9a64-5281b382c1b5,BPH,7860214_B_C01,7860214,C01
cddae54a-0418-4e95-8e66-99fef043bd74,BPH,7860214_B_C01,7860214,D01
