university_short_name,program_source_code,major_name,quota,admission_methods,subject_groups,is_verified
HBT,7310202,Xây dựng Đảng và chính quyền nhà nước,90,DGTD,,true
HBT,7310202,Xây dựng Đảng và chính quyền nhà nước,90,DGNL_HN,,true
HBT,7310202,Xây dựng Đảng và chính quyền nhà nước,90,THPT,"C03,C04,D01,X01",true
HBT,7310205,Quản lý nhà nước,100,DGTD,,true
HBT,7310205,Quản lý nhà nước,100,DGNL_HN,,true
HBT,7310205,Quản lý nhà nước,100,THPT,"C03,C04,D01,X01",true
HBT,7310301,Xã hội học,50,DGTD,,true
HBT,7310301,Xã hội học,50,DGNL_HN,,true
HBT,7310301,Xã hội học,50,THPT,"C03,C04,D01,X01",true
HBT,7320104,Truyền thông đa phương tiện,150,DGTD,,true
HBT,7320104,Truyền thông đa phương tiện,150,DGNL_HN,,true
HBT,7320104,Truyền thông đa phương tiện,150,THPT,"D01,D14,D15,X78",true
HBT,7320105,Truyền thông đại chúng,100,DGTD,,true
HBT,7320105,Truyền thông đại chúng,100,DGNL_HN,,true
HBT,7320105,Truyền thông đại chúng,100,THPT,"D01,D14,D15,X78",true
HBT,7320107,Truyền thông quốc tế,50,DGTD,,true
HBT,7320107,Truyền thông quốc tế,50,DGNL_HN,,true
HBT,7320107,Truyền thông quốc tế,50,THPT,"D01,D14,D15,X78",true
HBT,7340403,Quản lý công,100,DGTD,,true
HBT,7340403,Quản lý công,100,DGNL_HN,,true
HBT,7340403,Quản lý công,100,THPT,"C03,C04,D01,X01",true
HBT,7760101,Công tác xã hội,50,DGTD,,true
HBT,7760101,Công tác xã hội,50,DGNL_HN,,true
HBT,7760101,Công tác xã hội,50,THPT,"C03,C04,D01,X01",true
HBT,801,"Xuất bản, chuyên ngành Biên tập xuất bản",50,DGTD,,true
HBT,801,"Xuất bản, chuyên ngành Biên tập xuất bản",50,DGNL_HN,,true
HBT,801,"Xuất bản, chuyên ngành Biên tập xuất bản",50,THPT,"D01,D14,D15,X78",true
HBT,802,"Xuất bản, chuyên ngành Xuất bản điện tử",50,DGTD,,true
