code,name,field_code,description
7140249,Sư phạm Lịch sử - Địa lí,giao_duc,
7210101,"Lý luận, lịch sử và phê bình nghệ thuật",nghe_thuat,
7210103,Hội họa,nghe_thuat,
7210104,Đồ họa,nghe_thuat,
7210105,Điêu khắc,nghe_thuat,
7210105_1,Mỹ thuật đô thị (Chuyên ngành thuộc ngành Điêu khắc),nghe_thuat,
7210107,Ngành Gốm,nghe_thuat,
7210110,Mỹ thuật đô thị (*),nghe_thuat,
7210201,Âm nhạc học,nghe_thuat,
7210203,Sáng tác âm nhạc,nghe_thuat,
7210204,Chỉ huy âm nhạc,nghe_thuat,
7210205,Thanh nhạc,nghe_thuat,
7210207,Biểu diễn nhạc cụ phương Tây,nghe_thuat,
7210208,Piano,nghe_thuat,
7210209,Nhạc Jazz,nghe_thuat,
7210210,Biểu diễn nhạc cụ truyền thống,nghe_thuat,
7210226B,Diễn viên chèo,nghe_thuat,
7210226C,Diễn viên rối,nghe_thuat,
7210226E,Nhạc công kịch hát dân tộc,nghe_thuat,
7210227A,"Đạo diễn âm thanh, ánh sáng sân khấu",nghe_thuat,
7210227B,Đạo diễn sự kiện lễ hội,nghe_thuat,
7210233A,Biên kịch điện ảnh,nghe_thuat,
7210233B,Biên tập truyền hình,nghe_thuat,
7210234,"Diễn viên kịch, điện ảnh – truyền hình",nghe_thuat,
7210234A,Diễn viên nhạc kịch,nghe_thuat,
7210235A,Đạo diễn điện ảnh,nghe_thuat,
7210235B,Đạo diễn truyền hình,nghe_thuat,
7210235C,"Đạo diễn, sản xuất nội dung số",nghe_thuat,
7210236A,Quay phim điện ảnh,nghe_thuat,
7210236B,Quay phim truyền hình,nghe_thuat,
7210243,Biên đạo múa,nghe_thuat,
7210243A,Biên đạo múa đại chúng,nghe_thuat,
7210244,Huấn luyện múa,nghe_thuat,
7210301A,Nhiếp ảnh nghệ thuật,nghe_thuat,
7210301B,Nhiếp ảnh báo chí,nghe_thuat,
7210301C,Nhiếp ảnh truyền thông đa phương tiện,nghe_thuat,
7210302A,Công nghệ dựng phim,nghe_thuat,
7210302B,Âm thanh điện ảnh – truyền hình,nghe_thuat,
7210402,Ngành Thiết kế Công nghiệp,nghe_thuat,
7210403,Thiết kế đồ họa,nghe_thuat,
7210403_1,Nghệ thuật số (Chuyên ngành thuộc Thiết kế đồ họa),nghe_thuat,
7210404,Ngành Thiết kế Thời trang,nghe_thuat,
7210406A,Thiết kế mỹ thuật sân khấu,nghe_thuat,
7210406B,Thiết kế mỹ thuật hoạt hình,nghe_thuat,
7210406C,Thiết kế mỹ thuật hoạt hình,nghe_thuat,
7210406D,Thiết kế trang phục nghệ thuật,nghe_thuat,
7210406E,Thiết kế đồ hoạ kỹ xảo,nghe_thuat,
7210406F,Nghệ thuật hóa trang,nghe_thuat,
7210408,Nghệ thuật số,nghe_thuat,
72104_NT,CTĐT Nghệ thuật và thiết kế,nghe_thuat,
7220101,Tiếng Việt và văn hóa Việt Nam,nhan_van,
7220101_A,Tiếng Việt và văn hóa Việt Nam - Tuyển sinh người nước ngoài,nhan_van,
7220110,Sáng tác văn học,nhan_van,
7220112A,Văn hoá các DTTS Việt Nam - Tổ chức và quản lý văn hóa vùng DTTS,nhan_van,
7220112B,Văn hoá các DTTS Việt Nam - Tổ chức và quản lý du lịch vùng DTTS,nhan_van,
72202001,Ngôn ngữ Anh,nhan_van,
7220201,Ngôn ngữ Anh,nhan_van,
7220201DKD,Ngôn ngữ Anh,nhan_van,
7220201DKK,Ngôn ngữ Anh,nhan_van,
7220201_Nam,Ngôn ngữ Anh (Thí sinh Nam),nhan_van,
7220201_Nu,Ngôn ngữ Anh (Thí sinh Nữ),nhan_van,
7220202,Ngôn ngữ Nga,nhan_van,
