id,university_short_name,major_code,program_source_code,program_name,quota,missing_reason,base_program_code,source,source_school_id,is_active
d1ec4afa-3f7e-5997-b1be-f886ac2cb177,ANH,7720101,7720101,Y khoa,,program_code không có trong course_catalog,,tuyensinh247,221,false
6c024fa1-e7ea-584a-a56e-51e7a8cf2426,ANH,7720101,7720101_Nam,Ngành Y khoa (gửi đào tạo tại Học viện Quân y),,program_code không có trong course_catalog,,tuyensinh247,221,false
90d2531d-e8f7-5476-aac7-99949174512b,ANH,7720101,7720101_Nu,Ngành Y khoa (gửi đào tạo tại Học viện Quân y),,program_code không có trong course_catalog,,tuyensinh247,221,false
ad52afe3-fcb2-5eed-bcf4-bc42a5a598b9,ANH,7860100,7860100_Nam_1,"Ngành Nghiệp vụ an ninh (Thí sinh Nam, miền Bắc)",,program_code không có trong course_catalog,7860100_Nam_B,tuyensinh247,221,false
ba41c773-892c-5f67-a341-37a751f5cb4f,ANH,7860100,7860100_Nam_2,"Ngành Nghiệp vụ an ninh (Thí sinh Nam, miền Bắc)",,program_code không có trong course_catalog,7860100_Nam_B,tuyensinh247,221,false
617f8b1a-f422-5250-8894-ddf055cab0a4,ANH,7860100,7860100_Nam_3,"Ngành Nghiệp vụ an ninh (Thí sinh Nam, miền Bắc)",,program_code không có trong course_catalog,7860100_Nam_B,tuyensinh247,221,false
b7c6304d-6631-54b3-b981-08cf086f9332,ANH,7860100,7860100_Nam_8,"Ngành Nghiệp vụ an ninh (Thí sinh Nam, miền Bắc)",,program_code không có trong course_catalog,7860100_Nam_B,tuyensinh247,221,false
1791793f-56cd-53fa-a384-fa950cc7b46a,ANH,7860100,7860100_Nu_1,"Ngành Nghiệp vụ an ninh (Thí sinh Nam, miền Bắc)",,program_code không có trong course_catalog,7860100_Nam_B,tuyensinh247,221,false
17292546-3f48-5f65-8034-b90a76f42df4,ANH,7860100,7860100_Nu_2,"Ngành Nghiệp vụ an ninh (Thí sinh Nam, miền Bắc)",,program_code không có trong course_catalog,7860100_Nam_B,tuyensinh247,221,false
40c7c556-8058-5497-963e-106de7826a82,ANH,7860100,7860100_Nu_3,"Ngành Nghiệp vụ an ninh (Thí sinh Nam, miền Bắc)",,program_code không có trong course_catalog,7860100_Nam_B,tuyensinh247,221,false
35739d76-7b9f-50b1-9dec-1146e80ecb53,ANH,7860100,7860100_Nu_8,"Ngành Nghiệp vụ an ninh (Thí sinh Nữ, vùng 8)",,program_code không có trong course_catalog,,tuyensinh247,221,false
635ac80e-d2a2-5e48-8e86-b5f3ef903358,BKA,EE-Epx,EE-Epx,Tin học công nghiệp và Tự động hóa (Chương trình Việt - Pháp PFIEV),,suffix code không khớp catalog (base code tồn tại),,tuyensinh247,302,false
5ec41538-de10-5b8a-89c3-f84b8a906d7a,BKA,EE-Epy,EE-Epy,Tin học công nghiệp và Tự động hóa (Chương trình Việt - Pháp PFIEV),,suffix code không khớp catalog (base code tồn tại),,tuyensinh247,302,false
