id,university_short_name,major_code,program_source_code,program_name,quota,missing_reason,base_program_code,source,source_school_id,is_active
120817e2-3011-5ff0-b2cc-5a173a4728f5,BKA,CH2y,CH2y,Hóa học,,Dữ liệu quá khứ (Mã nhánh/Biến thể),CH2,tuyensinh247,302,false
8a15cf55-498c-5935-80a1-1cbca92fbbfe,BKA,CH3,CH3,Kỹ thuật In,,Dữ liệu quá khứ (Mã nhánh/Biến thể),MS5,tuyensinh247,302,false
c3b4aba8-fe15-56b3-a5e4-6c90538851b5,BKA,CH3x,CH3x,Kỹ thuật In,,Dữ liệu quá khứ (Mã nhánh/Biến thể),MS5,tuyensinh247,302,false
6f151169-56a3-58d5-9226-df05fcda7ce4,BKA,CH3y,CH3y,Kỹ thuật In,,Dữ liệu quá khứ (Mã nhánh/Biến thể),MS5,tuyensinh247,302,false
86c69125-926a-5a4c-b7f8-643c1d9e3be3,BKA,ED2,ED2,Công nghệ Giáo dục,120,,ED2,tuyensinh247,302,true
1be5cfb0-bce7-5010-86c6-fc1be6f001a6,BKA,ED2x,ED2x,Công nghệ Giáo dục,,Dữ liệu quá khứ (Mã nhánh/Biến thể),ED2,tuyensinh247,302,false
aa1dd761-0dc2-5fe0-a6dc-042632c2292f,BKA,ED2y,ED2y,Công nghệ Giáo dục,,Dữ liệu quá khứ (Mã nhánh/Biến thể),ED2,tuyensinh247,302,false
2c2d1f8a-77cc-51f9-bc8f-be2accc5a169,BKA,ED3,ED3,Quản lý Giáo dục,60,,ED3,tuyensinh247,302,true
2ed0c21c-f437-5529-90ef-fd29ba7b8c4a,BKA,ED5,ED5,Tâm lý học công nghiệp và tổ chức (mới),40,,ED5,tuyensinh247,,true
b077c2b6-8be9-5b7e-a026-4c055e6abc9c,BKA,EE-E18,EE-E18,Hệ thống điện và năng lượng tái tạo (CT tiên tiến),60,,EE-E18,tuyensinh247,302,true
dc072043-005d-5b64-a75e-83659fdb36a8,BKA,EE-E18x,EE-E18x,Hệ thống điện và năng lượng tái tạo (CT tiên tiến),,Dữ liệu quá khứ (Mã nhánh/Biến thể),EE-E18,tuyensinh247,302,false
f5f0622d-c174-598f-a8cc-c2ce3c55463a,BKA,EE-E18y,EE-E18y,Hệ thống điện và năng lượng tái tạo (CT tiên tiến),,Dữ liệu quá khứ (Mã nhánh/Biến thể),EE-E18,tuyensinh247,302,false
4f27a172-e609-5803-803d-4c0dcfd2adf8,BKA,EE-E8,EE-E8,Kỹ thuật điều khiển-Tự động hóa (CT tiên tiến),140,,EE-E8,tuyensinh247,302,true
7a0e9217-bd0f-5a54-b9d5-5ad2c7d6ee22,BKA,EE-E8x,EE-E8x,Kỹ thuật điều khiển-Tự động hóa (CT tiên tiến),,Dữ liệu quá khứ (Mã nhánh/Biến thể),EE-E8,tuyensinh247,302,false
503ad278-66e1-52c1-997c-48a7393cbc21,BKA,EE-E8y,EE-E8y,Kỹ thuật điều khiển-Tự động hóa (CT tiên tiến),,Dữ liệu quá khứ (Mã nhánh/Biến thể),EE-E8,tuyensinh247,302,false
eac617d3-cd33-5ead-b611-1d0b0417c54e,BKA,EE-EP,EE-EP,Tin học công nghiệp và Tự động hóa (CT Việt - Pháp PFIEV),40,,EE-EP,tuyensinh247,302,true
8cca808e-8b2d-5b17-a358-3f02f0cb9cd4,BKA,EE1,EE1,Kỹ thuật điện,240,,EE1,tuyensinh247,302,true
4c828cf2-5615-552e-8306-986b60e0e3d4,BKA,EE1x,EE1x,Kỹ thuật điện,,Dữ liệu quá khứ (Mã nhánh/Biến thể),EE1,tuyensinh247,302,false
4084f252-fd19-54d9-8bcb-3272d76c07a2,BKA,EE1y,EE1y,Kỹ thuật điện,,Dữ liệu quá khứ (Mã nhánh/Biến thể),EE1,tuyensinh247,302,false
f4ac0426-4dec-5365-aaea-3860e0f4c987,BKA,EE2,EE2,Kỹ thuật điều khiển & Tự động hóa,500,,EE2,tuyensinh247,302,true
287d7f67-9a5c-533e-9919-cab8b8099b40,BKA,EE2X,EE2X,Kỹ thuật điều khiển & Tự động hóa,,Dữ liệu quá khứ (Mã nhánh/Biến thể),EE2,tuyensinh247,302,false
4c529156-f02a-5284-a227-dc0f316a11c0,BKA,EE2y,EE2y,Kỹ thuật điều khiển & Tự động hóa,,Dữ liệu quá khứ (Mã nhánh/Biến thể),EE2,tuyensinh247,302,false
55bd8c3d-a7ac-54e6-9744-24263e87e0b2,BKA,EM-E13,EM-E13,Phân tích Kinh doanh (CT tiên tiến),140,,EM-E13,tuyensinh247,302,true
e8350870-858f-540c-bef1-212cf57d0311,BKA,EM-E13x,EM-E13x,Phân tích Kinh doanh (CT tiên tiến),,Dữ liệu quá khứ (Mã nhánh/Biến thể),EM-E13,tuyensinh247,302,false
289912c6-2f4f-5ebd-92ed-cfbc29d84372,BKA,EM-E13y,EM-E13y,Phân tích Kinh doanh (CT tiên tiến),,Dữ liệu quá khứ (Mã nhánh/Biến thể),EM-E13,tuyensinh247,302,false
b15a4b01-6577-5105-a08e-e01e4444ba37,BKA,EM-E14,EM-E14,Logistics và Quản lý chuỗi cung ứng (CT tiên tiến),140,,EM-E14,tuyensinh247,302,true
c9b1190c-28dc-5f6b-a875-8723cde3a245,BKA,EM-E14x,EM-E14x,Logistics và Quản lý chuỗi cung ứng (CT tiên tiến),,Dữ liệu quá khứ (Mã nhánh/Biến thể),EM-E14,tuyensinh247,302,false
35c73e2b-ca98-5984-8787-4c76899ee674,BKA,EM-E14y,EM-E14y,Logistics và Quản lý chuỗi cung ứng (CT tiên tiến),,Dữ liệu quá khứ (Mã nhánh/Biến thể),EM-E14,tuyensinh247,302,false
2abec823-fd20-5513-9e5f-fff36c513cd1,BKA,EM-E17,EM-E17,Kế toán (mới) (CT tiên tiến),80,,EM-E17,tuyensinh247,,true
dd18edfd-b78c-5d43-9d32-0c161d04b36d,BKA,EM1,EM1,Quản lý Năng lượng,80,,EM1,tuyensinh247,302,true
8d348a61-5dbd-5ad0-9499-bc60e5e280d6,BKA,EM1x,EM1x,Quản lý Năng lượng,,Dữ liệu quá khứ (Mã nhánh/Biến thể),EM1,tuyensinh247,302,false
47ad5d81-d9c1-5106-9aa5-90335551f726,BKA,EM1y,EM1y,Quản lý Năng lượng,,Dữ liệu quá khứ (Mã nhánh/Biến thể),EM1,tuyensinh247,302,false
14f40c67-150b-5621-ab96-4b8f3f8f3d0e,BKA,EM2,EM2,Quản lý Công nghiệp,100,,EM2,tuyensinh247,302,true
ed424a82-d602-5021-9d8b-3a9869fc9d81,BKA,EM2x,EM2x,Quản lý Công nghiệp,,Dữ liệu quá khứ (Mã nhánh/Biến thể),EM2,tuyensinh247,302,false
4abfe38c-32d3-50c2-9209-121c0c547833,BKA,EM2y,EM2y,Quản lý Công nghiệp,,Dữ liệu quá khứ (Mã nhánh/Biến thể),EM2,tuyensinh247,302,false
80cd47b7-cea3-5814-aabb-6776a8b76b15,BKA,EM3,EM3,Quản trị Kinh doanh,120,,EM3,tuyensinh247,302,true
ec318003-b8c5-513e-899b-e21044893ead,BKA,EM3x,EM3x,Quản trị Kinh doanh,,Dữ liệu quá khứ (Mã nhánh/Biến thể),EM3,tuyensinh247,302,false
1e6868d0-193c-5cc8-a4eb-bf58117e2e74,BKA,EM3y,EM3y,Quản trị Kinh doanh,,Dữ liệu quá khứ (Mã nhánh/Biến thể),EM3,tuyensinh247,302,false
9df6c3c9-6c71-56fb-9c4c-2fa844c5dbdc,BKA,EM4,EM4,Kế toán (mới) (CT tiên tiến),,Dữ liệu quá khứ (Mã nhánh/Biến thể),EM-E17,tuyensinh247,302,false
1dbf9300-e672-5df3-9e7b-9f80592928ff,BKA,EM4x,EM4x,Kế toán (mới) (CT tiên tiến),,Dữ liệu quá khứ (Mã nhánh/Biến thể),EM-E17,tuyensinh247,302,false
cc2edd99-b483-5a81-9bf0-1700cb02aca4,BKA,EM4y,EM4y,Kế toán (mới) (CT tiên tiến),,Dữ liệu quá khứ (Mã nhánh/Biến thể),EM-E17,tuyensinh247,302,false
dec2e16a-7a7f-5f69-b837-e604c604091e,BKA,EM5,EM5,Tài chính-Ngân hàng,100,,EM5,tuyensinh247,302,true
6085ed58-987e-5217-a795-9ae3f00109fe,BKA,EM5x,EM5x,Tài chính-Ngân hàng,,Dữ liệu quá khứ (Mã nhánh/Biến thể),EM5,tuyensinh247,302,false
42f52399-7de8-5585-bf51-df831b40f043,BKA,EM5y,EM5y,Tài chính-Ngân hàng,,Dữ liệu quá khứ (Mã nhánh/Biến thể),EM5,tuyensinh247,302,false
63739aee-ed6c-50fe-844f-df91a0a05f1e,BKA,ET-E16,ET-E16,Truyền thông số và Kỹ thuật đa phương tiện (CT tiên tiến),60,,ET-E16,tuyensinh247,302,true
be4c3071-81cf-5955-871c-a0e60a15e7d3,BKA,ET-E16x,ET-E16x,Truyền thông số và Kỹ thuật đa phương tiện (CT tiên tiến),,Dữ liệu quá khứ (Mã nhánh/Biến thể),ET-E16,tuyensinh247,302,false
7656fbce-5a55-5d1f-924e-690e15d80024,BKA,ET-E16y,ET-E16y,Truyền thông số và Kỹ thuật đa phương tiện (CT tiên tiến),,Dữ liệu quá khứ (Mã nhánh/Biến thể),ET-E16,tuyensinh247,302,false
c6fd3f45-48b7-5428-9382-4d8da34d3311,BKA,ET-E4,ET-E4,Kỹ thuật Điện tử - Viễn thông (CT tiên tiến),120,,ET-E4,tuyensinh247,302,true
c2cfcd82-2c10-56ee-8515-eba59e616cc0,BKA,ET-E4x,ET-E4x,Kỹ thuật Điện tử - Viễn thông (CT tiên tiến),,Dữ liệu quá khứ (Mã nhánh/Biến thể),ET-E4,tuyensinh247,302,false
eed3cc14-8cd8-51df-a932-5db1c6b2e96f,BKA,ET-E4y,ET-E4y,Kỹ thuật Điện tử - Viễn thông (CT tiên tiến),,Dữ liệu quá khứ (Mã nhánh/Biến thể),ET-E4,tuyensinh247,302,false
1122c5ae-124b-55e3-8044-3aab4f1cab29,BKA,ET-E5,ET-E5,Kỹ thuật Y sinh (CT tiên tiến),40,,ET-E5,tuyensinh247,302,true
cf0e5f19-7129-5b78-8ee8-dfd0f0ebd9fd,BKA,ET-E5x,ET-E5x,Kỹ thuật Y sinh (CT tiên tiến),,Dữ liệu quá khứ (Mã nhánh/Biến thể),ET-E5,tuyensinh247,302,false
a6c22b68-bc0b-553e-a743-caaa0d0a3c04,BKA,ET-E5y,ET-E5y,Kỹ thuật Y sinh (CT tiên tiến),,Dữ liệu quá khứ (Mã nhánh/Biến thể),ET-E5,tuyensinh247,302,false
34c9c0b5-319a-5c6d-8343-7f072bea0c6f,BKA,ET-E9,ET-E9,Hệ thống nhúng thông minh và IoT (tăng cường tiếng Nhật),80,,ET-E9,tuyensinh247,302,true
bcbf17fc-1073-55f7-929d-368e507f7dc4,BKA,ET-E9x,ET-E9x,Hệ thống nhúng thông minh và IoT (tăng cường tiếng Nhật),,Dữ liệu quá khứ (Mã nhánh/Biến thể),ET-E9,tuyensinh247,302,false
7adc0808-8b54-5ae0-b11e-225c9a89f6e5,BKA,ET-E9y,ET-E9y,Hệ thống nhúng thông minh và IoT (tăng cường tiếng Nhật),,Dữ liệu quá khứ (Mã nhánh/Biến thể),ET-E9,tuyensinh247,302,false
9c3d32ba-5ef5-59e3-9abf-8209e44b06de,BKA,ET-LUH,ET-LUH,Điện tử - Viễn thông - ĐH Leibniz Hannover (CHLB Đức),40,,ET-LUH,tuyensinh247,302,true
b38235a8-c677-5db9-903f-a569e20de62e,BKA,ET-LUHX,ET-LUHX,Điện tử - Viễn thông - ĐH Leibniz Hannover (CHLB Đức),,Dữ liệu quá khứ (Mã nhánh/Biến thể),ET-LUH,tuyensinh247,302,false
4b56aeb4-a5ce-5575-88c3-c7333bdf3006,BKA,ET-LUHY,ET-LUHY,Điện tử - Viễn thông - ĐH Leibniz Hannover (CHLB Đức),,Dữ liệu quá khứ (Mã nhánh/Biến thể),ET-LUH,tuyensinh247,302,false
cc6b4ceb-9396-5344-88aa-45536abb8a92,BKA,ET1,ET1,Kỹ thuật Điện tử-Viễn thông,480,,ET1,tuyensinh247,302,true
96dfd6f0-4cea-51be-a80a-4637fae88ffe,BKA,ET1x,ET1x,Kỹ thuật Điện tử-Viễn thông,,Dữ liệu quá khứ (Mã nhánh/Biến thể),ET1,tuyensinh247,302,false
c542680a-2038-57ec-ad4f-babfe2faab15,BKA,ET1y,ET1y,Kỹ thuật Điện tử-Viễn thông,,Dữ liệu quá khứ (Mã nhánh/Biến thể),ET1,tuyensinh247,302,false
7d4ae544-b6ac-5774-be81-67385cadd8c6,BKA,ET2,ET2,Kỹ thuật Y sinh,100,,ET2,tuyensinh247,302,true
610d6f08-08ab-5426-b572-8a20d6c6bb95,BKA,ET2x,ET2x,Kỹ thuật Y sinh,,Dữ liệu quá khứ (Mã nhánh/Biến thể),ET2,tuyensinh247,302,false
1e92f4e6-425e-5047-baa0-f72bb055c570,BKA,ET2y,ET2y,Kỹ thuật Y sinh,,Dữ liệu quá khứ (Mã nhánh/Biến thể),ET2,tuyensinh247,302,false
3ee7e108-0f12-5526-aa0c-9d98e853443f,BKA,EV1,EV1,Kỹ thuật Môi trường,160,,EV1,tuyensinh247,302,true
0d1c4f4f-9498-5847-a598-394b5f63684e,BKA,EV1x,EV1x,Kỹ thuật Môi trường,,Dữ liệu quá khứ (Mã nhánh/Biến thể),EV1,tuyensinh247,302,false
b92a6c80-2f19-5749-920a-9529863898c2,BKA,EV1y,EV1y,Kỹ thuật Môi trường,,Dữ liệu quá khứ (Mã nhánh/Biến thể),EV1,tuyensinh247,302,false
27f6d74e-bd56-5416-8621-33f18177ccf8,BKA,EV2,EV2,Quản lý Tài nguyên và Môi trường,120,,EV2,tuyensinh247,302,true
6bd25b59-f349-5cc7-ae73-7d9550c9c2b8,BKA,EV2x,EV2x,Quản lý Tài nguyên và Môi trường,,Dữ liệu quá khứ (Mã nhánh/Biến thể),EV2,tuyensinh247,302,false
e88e1791-d920-5a89-ad66-07bf5312bb8e,BKA,EV2y,EV2y,Quản lý Tài nguyên và Môi trường,,Dữ liệu quá khứ (Mã nhánh/Biến thể),EV2,tuyensinh247,302,false
d55efb80-dbf7-503d-bcd5-b56a90376f72,BKA,FL1,FL1,Tiếng Anh KHKT và Công nghệ,210,,FL1,tuyensinh247,302,true
