source_url,page_title,year,table_wp_id,table_dom_id,table_name,institution,institution_url,logo_url,wdt_id,school_type,institution_type,region,province,major_group,national_rank,recognized_quality_rank,teaching_rank,publications_rank,science_tech_innovation_rank,learner_quality_rank,facilities_rank,total_score
https://vnur.vn/,VNUR.VN - Bảng xếp hạng Đại học Việt Nam,2026,61,table_1,BẢNG XẾP HẠNG TOP 100 TRƯỜNG ĐẠI HỌC VIỆT NAM NĂM 2026,Trường Đại học Nam Cần Thơ,https://vnur.vn/truong-dai-hoc-nam-can-tho/,https://vnur.vn/wp-content/uploads/2023/01/91.Nam-Can-Tho-1.jpg,96,Tư thục,Trường Đại học,Đồng bằng sông Cửu Long,Thành phố Cần Thơ,Đa Ngành,37,32,58,8,99,183,42,53.06
https://vnur.vn/,VNUR.VN - Bảng xếp hạng Đại học Việt Nam,2026,61,table_1,BẢNG XẾP HẠNG TOP 100 TRƯỜNG ĐẠI HỌC VIỆT NAM NĂM 2026,Trường Đại học Sư phạm Kỹ thuật TP. Hồ Chí Minh,https://vnur.vn/truong-dai-hoc-su-pham-ky-thuat-tp-ho-chi-minh/,https://vnur.vn/wp-content/uploads/2023/01/28.Su-pham-Ky-thuat-TP.HCM_.jpg,24,Công lập,Trường Đại học,Đông Nam Bộ,Thành phố Hồ Chí Minh,"Kỹ thuật, Công nghệ",38,39,73,12,55,41,133,52.99
https://vnur.vn/,VNUR.VN - Bảng xếp hạng Đại học Việt Nam,2026,61,table_1,BẢNG XẾP HẠNG TOP 100 TRƯỜNG ĐẠI HỌC VIỆT NAM NĂM 2026,Học viện Báo chí và Tuyên truyền,https://vnur.vn/hoc-vien-bao-chi-va-tuyen-truyen/,https://vnur.vn/wp-content/uploads/2023/01/34.Hoc-vien-Bao-chi-Tuyen-truyen.jpg,37,Công lập,Học viện,Đồng bằng Sông Hồng,Thành phố Hà Nội,Hành chính,39,62,12,107,48,15,161,52.83
https://vnur.vn/,VNUR.VN - Bảng xếp hạng Đại học Việt Nam,2026,61,table_1,BẢNG XẾP HẠNG TOP 100 TRƯỜNG ĐẠI HỌC VIỆT NAM NĂM 2026,Trường Đại học Ngân hàng TP. Hồ Chí Minh,https://vnur.vn/truong-dai-hoc-ngan-hang-tp-ho-chi-minh/,https://vnur.vn/wp-content/uploads/2023/01/58.DH-Ngan-hang-TP.HCM_.jpg,34,Công lập,Trường Đại học,Đông Nam Bộ,Thành phố Hồ Chí Minh,"Kinh tế, Tài chính",40,57,18,47,73,58,134,52.50
https://vnur.vn/,VNUR.VN - Bảng xếp hạng Đại học Việt Nam,2026,61,table_1,BẢNG XẾP HẠNG TOP 100 TRƯỜNG ĐẠI HỌC VIỆT NAM NĂM 2026,Trường Đại học Luật TP. Hồ Chí Minh,https://vnur.vn/truong-dai-hoc-luat-tp-ho-chi-minh/,https://vnur.vn/wp-content/uploads/2023/01/83.Luat-TP.HCM_.jpg,51,Công lập,Trường Đại học,Đông Nam Bộ,Thành phố Hồ Chí Minh,Pháp luật,41,62,19,134,75,72,8,52.15
https://vnur.vn/,VNUR.VN - Bảng xếp hạng Đại học Việt Nam,2026,61,table_1,BẢNG XẾP HẠNG TOP 100 TRƯỜNG ĐẠI HỌC VIỆT NAM NĂM 2026,Trường Đại học Văn hoá Hà Nội,https://vnur.vn/truong-dai-hoc-van-hoa-ha-noi/,https://vnur.vn/wp-content/uploads/2026/01/DH-van-hoa-Ha-Noi.png,101,Công lập,Trường Đại học,Đồng bằng Sông Hồng,Thành phố Hà Nội,Văn hóa,42,62,16,171,60,16,135,52.00
https://vnur.vn/,VNUR.VN - Bảng xếp hạng Đại học Việt Nam,2026,61,table_1,BẢNG XẾP HẠNG TOP 100 TRƯỜNG ĐẠI HỌC VIỆT NAM NĂM 2026,Trường Đại học Hàng hải Việt Nam,https://vnur.vn/truong-dai-hoc-hang-hai-viet-nam/,https://vnur.vn/wp-content/uploads/2023/01/44.Hang-hai-Viet-Nam.jpg,38,Công lập,Trường Đại học,Đồng bằng Sông Hồng,Thành phố Hải Phòng,Đa Ngành,43,62,37,56,28,62,129,51.50
https://vnur.vn/,VNUR.VN - Bảng xếp hạng Đại học Việt Nam,2026,61,table_1,BẢNG XẾP HẠNG TOP 100 TRƯỜNG ĐẠI HỌC VIỆT NAM NĂM 2026,Trường Đại học Nha Trang,https://vnur.vn/truong-dai-hoc-nha-trang/,https://upload.wikimedia.org/wikipedia/commons/c/c1/Nha_Trang_University_Seal.png,46,Công lập,Trường Đại học,Duyên hải Nam Trung Bộ và Tây Nguyên,Khánh Hoà,Đa Ngành,44,26,56,50,23,80,182,51.47
https://vnur.vn/,VNUR.VN - Bảng xếp hạng Đại học Việt Nam,2026,61,table_1,BẢNG XẾP HẠNG TOP 100 TRƯỜNG ĐẠI HỌC VIỆT NAM NĂM 2026,Trường Đại học Y Hà Nội,https://vnur.vn/truong-dai-hoc-y-ha-noi/,https://vnur.vn/wp-content/uploads/2023/01/29.Y-Ha-Noi.jpg,39,Công lập,Trường Đại học,Đồng bằng Sông Hồng,Thành phố Hà Nội,Sức khỏe,45,20,118,15,38,106,26,51.26
https://vnur.vn/,VNUR.VN - Bảng xếp hạng Đại học Việt Nam,2026,61,table_1,BẢNG XẾP HẠNG TOP 100 TRƯỜNG ĐẠI HỌC VIỆT NAM NĂM 2026,Học viện Ngoại giao,https://vnur.vn/hoc-vien-ngoai-giao/,https://vnur.vn/wp-content/uploads/2023/01/31.Hoc-vien-Ngoai-giao.jpg,72,Công lập,Học viện,Đồng bằng Sông Hồng,Thành phố Hà Nội,Hành chính,46,55,24,141,66,18,184,51.15
