code,name,field_code,description
7220204,Ngôn ngữ Trung Quốc (Thí sinh Nam),NGON_NGU,
7860231,"Trinh sát kỹ thuật (Thí sinh Nam, miền Bắc)",,
QS,"Kỹ sư quân sự (miền Bắc, thí sinh Nam)",,
7860220_Nam_B,Đào tạo kỹ sư quân sự,,
7860220_Nam_N,Đào tạo kỹ sư quân sự,,
7860220_Nu_B,Đào tạo kỹ sư quân sự,,
7860220_Nu_N,Đào tạo kỹ sư quân sự,,
7860220,Đào tạo kỹ sư quân sự,,
7320101,Báo chí,,
7320104_CLC,Truyền thông đa phương tiện - Chương trình đào tạo chất lượng cao,,
7329001,Công nghệ đa phương tiện,,
7329001_GAM,Thiết kế và phát triển Game (ngành Công nghệ đa phương tiện),,
7340101_LOG,Logistics và quản trị chuỗi cung ứng (ngành Quản trị kinh doanh),KINH_TE,
7340115,Marketing,KINH_TE,
7340115_CLC,Marketing (chất lượng cao),KINH_TE,
7340115_QHC,Quan hệ công chúng (ngành Marketing),KINH_TE,
7340122,Thương mại điện tử,KINH_TE,
7340205,Công nghệ tài chính (Fintech),KINH_TE,
7340301_CLC,Kế toán chất lượng cao (chuẩn quốc tế ACCA),KINH_TE,
7480101,Khoa học máy tính (định hướng Khoa học dữ liệu),CNTT,
7480102,Kỹ thuật dữ liệu (ngành Mạng máy tính và truyền thông dữ liệu),CNTT,
7480107,Trí tuệ nhân tạo,CNTT,
7480201_CLC,Công nghệ thông tin - Chương trình chất lượng cao,CNTT,
7480201_UDU,Công nghệ thông tin (Cử nhân định hướng ứng dụng),CNTT,
7480201_VNH,Công nghệ thông tin Việt - Nhật,CNTT,
7480202_CLC,An toàn thông tin - Chất lượng cao,CNTT,
7510301,"Công nghệ Kỹ thuật Điện, điện tử",,
7510301_MBD,"Công nghệ vi mạch bán dẫn (ngành Công nghệ Kỹ thuật Điện, điện tử)",,
7520207_AIoT,Trí tuệ nhân tạo vạn vật (AIoT) (ngành Kỹ thuật Điện tử viễn thông),KY_THUAT,
7520216,Kỹ thuật Điều khiển và tự động hóa,KY_THUAT,
7480201 _CLC,Công nghệ thông tin,CNTT,
7480201 _UDU,Công nghệ thông tin (định hướng ứng dụng),CNTT,
7329001_LK,"Công nghệ đa phương tiện (Liên kết với Đại học Canberra, Australia)",,
7340205_LK,"Công nghệ tài chính (Liên kết với Đại học Huddersfield, Vương quốc Anh)",KINH_TE,
7480201_LK,"Công nghệ thông tin (Liên kết với Đại học La Trobe, Australia)",CNTT,
HQT01,Quan hệ quốc tế,,
HQT02,Ngôn ngữ Anh,,
HQT03,Kinh tế quốc tế,,
HQT04,Luật quốc tế,,
HQT05,Truyền thông quốc tế,,
HQT06,Kinh doanh quốc tế,,
HQT07,Luật thương mại quốc tế,,
HQT08-01,Hàn Quốc học,,
HQT08-02,Hoa Kỳ học,,
HQT08-03,Nhật Bản học,,
HQT08-04,Trung Quốc học,,
ACT01,Chất lượng cao Kế toán,,
ACT02,Kế toán,,
ACT03,"Kế toán Sunderland, Anh (Cấp song bằng)",,
ACT04,Kiểm toán,,
BANK01,Chất lượng cao Ngân hàng,,
BANK02,Ngân hàng,,
BANK03,Ngân hàng số,,
BANK04,"Tài chính – Ngân hàng Sunderland, Anh (Cấp song bằng)",,
BANK05,Ngân hàng và Tài chính quốc tế Coventry  (Cấp song bằng),,
BANK06,Chất lượng cao Ngân hàng và Tài chính quốc tế,,
BANK07,Chất lượng cao Ngân hàng trung ương và Chính sách công,,
BUS01,Chất lượng cao Quản trị kinh doanh,,
BUS02,Quản trị kinh doanh,,
BUS03,Quản trị du lịch,,
BUS04,"Quản trị kinh doanh CityU, Hoa Kỳ (Cấp song bằng)",,
BUS05,"Marketing số (ĐH Coventry, Anh cấp bằng)",,
BUS06,Chất lượng cao Marketing số,,
BUS07,Marketing,,
DS01,Khoa học dữ liệu trong kinh tế và kinh doanh,,
ECON01,Kinh tế đầu tư,,
ECON02,Chất lượng cao Kinh tế đầu tư,,
FIN01,Chất lượng cao Tài chính,,
FIN02,Tài chính,,
FIN03,Công nghệ tài chính,,
FIN04,Chất lượng cao Hoạch định và tư vấn tài chính,,
FL01,Ngôn ngữ Anh Tài chính - Ngân hàng,,
