id,universityshortname,universitytype,universityprovince,majorcode,internalcode,internalname,fields,isactive
a399fa86-a14a-4636-8bca-7182e3ef97dd,HBT,cônglập,HN,611,,,,True
b0839162-e678-4f55-8d0b-d2c34dd7dfdb,HBT,cônglập,HN,614,,,,True
19811e5f-08d0-4220-85d5-550532d56d36,HBT,cônglập,HN,615,,,,True
6163989a-45f8-404e-b183-a43e45269a5b,HBT,cônglập,HN,616,,,,True
536af948-8d74-401d-abdb-4876a463a5d3,HBT,cônglập,HN,7220201,,,,True
67d5380f-a299-4d22-b1c9-d0b030d64a0b,HBT,cônglập,HN,7229001,,,,True
8baf0095-8996-4ce4-a9a9-8e2a136f0487,HBT,cônglập,HN,7229008,,,,True
e0d27b31-33bc-48cf-9932-e4c4f77a7aaf,HBT,cônglập,HN,7229010,,,,True
d4826866-5661-4e6c-972a-9e23e56025a6,HBT,cônglập,HN,7310102,,,,True
668f52b2-cc9f-43c2-8e65-e0deae6e1e46,HBT,cônglập,HN,7310202,,,,True
706141f7-210c-4397-985e-457b3dacc9f2,HBT,cônglập,HN,7310205,,,,True
0f4de66c-7936-498e-8fae-0039f1c74f16,HBT,cônglập,HN,7310301,,,,True
d55932f5-2ffa-4b79-b5cf-0d680ac3b37c,HBT,cônglập,HN,7320104,,,,True
8aacec36-7e45-4a73-a521-326968baaad7,HBT,cônglập,HN,7320105,,,,True
8d537ce7-5705-4203-87ab-50a1ed53efca,HBT,cônglập,HN,7320107,,,,True
57d0ff4f-8fd0-432d-83dd-4cfd40b131c2,HBT,cônglập,HN,7320110,,,,True
fdf519f4-9810-4288-940c-f443122d0004,HBT,cônglập,HN,7340403,,,,True
0c3479bc-13d2-44c5-9cb7-1dff9ce82b57,HBT,cônglập,HN,7760101,,,,True
63bb7ff0-dd5e-46ef-b509-c4be51d936cd,HBT,cônglập,HN,801,,,,True
a833133e-7061-4a11-8291-f22b9463cd94,HBT,cônglập,HN,802,,,,True
82ff883c-8746-4b8b-9ef8-ac71e08ec027,HBT,cônglập,HN,532,,,,True
586dd327-0eb6-4f13-917c-491d391bf054,HBT,cônglập,HN,528,,,,True
00ec8873-9816-49a3-aa09-12a20def8ae5,HBT,cônglập,HN,529,,,,True
b1438b50-b45c-43a8-9c54-fa0bb3032fe8,HBT,cônglập,HN,535,,,,True
