university_program_id,subject_group_code
7d12022c-1206-5b0f-bddb-de1fed9d451a,A01
d1ec4afa-3f7e-5997-b1be-f886ac2cb177,B00
eb8599a4-b679-5ad6-a587-cb9677c9b7b5,A00
eb8599a4-b679-5ad6-a587-cb9677c9b7b5,D01
eb8599a4-b679-5ad6-a587-cb9677c9b7b5,A01
eb8599a4-b679-5ad6-a587-cb9677c9b7b5,C03
5d7e674e-108b-5c00-8544-e0f2486f2576,A00
5d7e674e-108b-5c00-8544-e0f2486f2576,A01
6c024fa1-e7ea-584a-a56e-51e7a8cf2426,A00
6c024fa1-e7ea-584a-a56e-51e7a8cf2426,B00
90d2531d-e8f7-5476-aac7-99949174512b,A00
90d2531d-e8f7-5476-aac7-99949174512b,B00
ad52afe3-fcb2-5eed-bcf4-bc42a5a598b9,A00
ad52afe3-fcb2-5eed-bcf4-bc42a5a598b9,A01
ad52afe3-fcb2-5eed-bcf4-bc42a5a598b9,C03
ad52afe3-fcb2-5eed-bcf4-bc42a5a598b9,D01
ba41c773-892c-5f67-a341-37a751f5cb4f,A00
ba41c773-892c-5f67-a341-37a751f5cb4f,A01
ba41c773-892c-5f67-a341-37a751f5cb4f,C03
ba41c773-892c-5f67-a341-37a751f5cb4f,D01
617f8b1a-f422-5250-8894-ddf055cab0a4,A00
617f8b1a-f422-5250-8894-ddf055cab0a4,A01
617f8b1a-f422-5250-8894-ddf055cab0a4,C03
617f8b1a-f422-5250-8894-ddf055cab0a4,D01
b7c6304d-6631-54b3-b981-08cf086f9332,A00
b7c6304d-6631-54b3-b981-08cf086f9332,A01
b7c6304d-6631-54b3-b981-08cf086f9332,C03
b7c6304d-6631-54b3-b981-08cf086f9332,D01
1791793f-56cd-53fa-a384-fa950cc7b46a,A00
1791793f-56cd-53fa-a384-fa950cc7b46a,A01
1791793f-56cd-53fa-a384-fa950cc7b46a,C03
1791793f-56cd-53fa-a384-fa950cc7b46a,D01
17292546-3f48-5f65-8034-b90a76f42df4,A00
17292546-3f48-5f65-8034-b90a76f42df4,A01
17292546-3f48-5f65-8034-b90a76f42df4,C03
17292546-3f48-5f65-8034-b90a76f42df4,D01
40c7c556-8058-5497-963e-106de7826a82,A00
40c7c556-8058-5497-963e-106de7826a82,A01
40c7c556-8058-5497-963e-106de7826a82,C03
40c7c556-8058-5497-963e-106de7826a82,D01
35739d76-7b9f-50b1-9dec-1146e80ecb53,A00
35739d76-7b9f-50b1-9dec-1146e80ecb53,A01
35739d76-7b9f-50b1-9dec-1146e80ecb53,C03
35739d76-7b9f-50b1-9dec-1146e80ecb53,D01
77a27e8f-45e8-5b5f-877d-523baf507871,A00
77a27e8f-45e8-5b5f-877d-523baf507871,A01
bd5945c9-74af-5ff3-9d79-defd673415d2,A00
bd5945c9-74af-5ff3-9d79-defd673415d2,A01
33bfb6e7-a52e-53c0-8b13-205db03fb959,A00
33bfb6e7-a52e-53c0-8b13-205db03fb959,A01
1540952d-cbbc-5d8d-bea3-9331fa3c2c75,A00
1540952d-cbbc-5d8d-bea3-9331fa3c2c75,A01
5d7e674e-108b-5c00-8544-e0f2486f2576,X26
5d7e674e-108b-5c00-8544-e0f2486f2576,X27
5d7e674e-108b-5c00-8544-e0f2486f2576,X28
ad52afe3-fcb2-5eed-bcf4-bc42a5a598b9,X02
ad52afe3-fcb2-5eed-bcf4-bc42a5a598b9,X03
ad52afe3-fcb2-5eed-bcf4-bc42a5a598b9,X04
ba41c773-892c-5f67-a341-37a751f5cb4f,X02
ba41c773-892c-5f67-a341-37a751f5cb4f,X03
ba41c773-892c-5f67-a341-37a751f5cb4f,X04
617f8b1a-f422-5250-8894-ddf055cab0a4,X02
617f8b1a-f422-5250-8894-ddf055cab0a4,X03
617f8b1a-f422-5250-8894-ddf055cab0a4,X04
b7c6304d-6631-54b3-b981-08cf086f9332,X02
b7c6304d-6631-54b3-b981-08cf086f9332,X03
b7c6304d-6631-54b3-b981-08cf086f9332,X04
