id,university_short_name,major_code,program_source_code,program_name,source,source_school_id,is_active
5d7e674e-108b-5c00-8544-e0f2486f2576,ANH,7480201,7480201_Nam,Ngành Công nghệ thông tin (Thí sinh Nam),tuyensinh247,221,true
7d12022c-1206-5b0f-bddb-de1fed9d451a,ANH,7480202,7480202,An toàn thông tin,tuyensinh247,221,true
d1ec4afa-3f7e-5997-b1be-f886ac2cb177,ANH,7720101,7720101,Y khoa,tuyensinh247,221,true
6c024fa1-e7ea-584a-a56e-51e7a8cf2426,ANH,7720101,7720101_Nam,Ngành Y khoa (gửi đào tạo tại Học viện Quân y),tuyensinh247,221,true
90d2531d-e8f7-5476-aac7-99949174512b,ANH,7720101,7720101_Nu,Ngành Y khoa (gửi đào tạo tại Học viện Quân y),tuyensinh247,221,true
eb8599a4-b679-5ad6-a587-cb9677c9b7b5,ANH,7860100,7860100,Nghiệp vụ An ninh,tuyensinh247,221,true
ad52afe3-fcb2-5eed-bcf4-bc42a5a598b9,ANH,7860100,7860100_Nam_1,Ngành Nghiệp vụ an ninh,tuyensinh247,221,true
ba41c773-892c-5f67-a341-37a751f5cb4f,ANH,7860100,7860100_Nam_2,Ngành Nghiệp vụ an ninh,tuyensinh247,221,true
617f8b1a-f422-5250-8894-ddf055cab0a4,ANH,7860100,7860100_Nam_3,Ngành Nghiệp vụ an ninh,tuyensinh247,221,true
b7c6304d-6631-54b3-b981-08cf086f9332,ANH,7860100,7860100_Nam_8,Ngành Nghiệp vụ an ninh,tuyensinh247,221,true
1791793f-56cd-53fa-a384-fa950cc7b46a,ANH,7860100,7860100_Nu_1,Ngành Nghiệp vụ an ninh,tuyensinh247,221,true
17292546-3f48-5f65-8034-b90a76f42df4,ANH,7860100,7860100_Nu_2,Ngành Nghiệp vụ an ninh,tuyensinh247,221,true
40c7c556-8058-5497-963e-106de7826a82,ANH,7860100,7860100_Nu_3,Ngành Nghiệp vụ an ninh,tuyensinh247,221,true
35739d76-7b9f-50b1-9dec-1146e80ecb53,ANH,7860100,7860100_Nu_8,"Ngành Nghiệp vụ an ninh (Thí sinh Nữ, vùng 8)",tuyensinh247,221,true
77a27e8f-45e8-5b5f-877d-523baf507871,ANH,7860114,7860114_Nam_B,"Ngành An ninh mạng và phòng chống tội phạm công nghệ cao (Thí sinh Nam, miền Bắc)",tuyensinh247,221,true
bd5945c9-74af-5ff3-9d79-defd673415d2,ANH,7860114,7860114_Nam_N,"Ngành An ninh mạng và phòng chống tội phạm công nghệ cao (Thí sinh Nam, miền Nam)",tuyensinh247,221,true
