code,name,field_code,description
7229030,Văn học,nhan_van,
7229040,Văn hóa học,nhan_van,
7229042,Quản lý văn hóa,nhan_van,
7240301,Kế toán,kinh_te,
7310101,Ngành Kinh tế,khoa_hoc_xa_hoi,
7310102,Kinh tế chính trị,khoa_hoc_xa_hoi,
7310104,Kinh tế đầu tư,khoa_hoc_xa_hoi,
7310105,Ngành Kinh tế phát triển,khoa_hoc_xa_hoi,
7310106,Ngành Kinh tế quốc tế,khoa_hoc_xa_hoi,
7310107,Thống kê kinh tế,khoa_hoc_xa_hoi,
7310108,Toán kinh tế,khoa_hoc_xa_hoi,
7310109,Kinh tế số,khoa_hoc_xa_hoi,
7310110,Quản lý kinh tế,khoa_hoc_xa_hoi,
7310111,Nghiên cứu phát triển,khoa_hoc_xa_hoi,
7310112,Kinh tế số,khoa_hoc_xa_hoi,
7310201,Chính trị học,khoa_hoc_xa_hoi,
7310202,Xây dựng Đảng và Chính quyền nhà nước,khoa_hoc_xa_hoi,
7310205,Quản lý Nhà nước,khoa_hoc_xa_hoi,
7310206,Quan hệ quốc tế,khoa_hoc_xa_hoi,
7310301,Xã hội học,khoa_hoc_xa_hoi,
7310399,Giới và Phát triển,khoa_hoc_xa_hoi,
7310401,Tâm lý học,khoa_hoc_xa_hoi,
7310403,Tâm lý học giáo dục,khoa_hoc_xa_hoi,
7310501,Địa lí học (Địa lí tài nguyên và môi trường),khoa_hoc_xa_hoi,
7310601,Quốc tế học (bắt đầu tuyển sinh từ 2026),khoa_hoc_xa_hoi,
7310612,Trung Quốc học,khoa_hoc_xa_hoi,
7310630,Việt Nam học (Hướng dẫn du lịch),khoa_hoc_xa_hoi,
7320101,Báo chí,truyen_thong,
7320104,Truyền thông đa phương tiện,truyen_thong,
7320105,Truyền thông đại chúng,truyen_thong,
7320106,Công nghệ truyền thông,truyen_thong,
7320107,Truyền thông quốc tế,truyen_thong,
7320108,Quan hệ công chúng,truyen_thong,
7320109,Truyền thông doanh nghiệp,truyen_thong,
7320110,"Quan hệ công chúng, chuyên ngành Quảng cáo",truyen_thong,
7320113,Công nghệ đa phương tiện,truyen_thong,
7320201,Quản trị thư viện,truyen_thong,
7320205,Quản lý thông tin,truyen_thong,
7320303,Lưu trữ học (Chuyên ngành Văn thư - Lưu trữ),truyen_thong,
7320305,Bảo tàng học,truyen_thong,
7320402,Kinh doanh xuất bản phẩm,truyen_thong,
7329001,Công nghệ đa phương tiện,truyen_thong,
7340101,Quản trị Kinh doanh,kinh_te,
7340102,Quản trị kinh doanh,kinh_te,
7340106,Kinh tế quốc tế,kinh_te,
7340108,Quản lí (song bằng VNU-Keuka),kinh_te,
7340110,Quản trị kinh doanh,kinh_te,
7340115,Marketing,kinh_te,
7340116,Bất động sản,kinh_te,
7340120,Kinh doanh quốc tế,kinh_te,
7340121,Kinh doanh thương mại,kinh_te,
7340122,Thương mại điện tử,kinh_te,
7340125,Phân tích dữ liệu kinh doanh,kinh_te,
7340201,Ngành Tài chính – Ngân hàng,kinh_te,
7340202,Công nghệ tài chính,kinh_te,
7340204,Bảo hiểm,kinh_te,
7340205,Công nghệ tài chính,kinh_te,
7340207,Bảo hiểm - Tài chính,kinh_te,
7340208,Công nghệ tài chính (Fintech),kinh_te,
7340301,Kế toán,kinh_te,
7340302,Kiểm toán,kinh_te,
7340303,"Kế toán, Phân tích và Kiểm toán",kinh_te,
7340401,Khoa học quản lý,kinh_te,
7340403,Quản lý công,kinh_te,
7340404,Quản trị nhân lực,kinh_te,
7340405,Hệ thống thông tin quản lý,kinh_te,
7340406,Quản trị Văn phòng,kinh_te,
7340408,Quan hệ lao động,kinh_te,
7340409,Quản lý dự án (*),kinh_te,
7380101,Luật,phap_luat,
7380107,Luật Kinh tế (CTĐT Luật Kinh doanh),phap_luat,
7380108,Luật quốc tế,phap_luat,
7380109,Luật Thương mại quốc tế,phap_luat,
7380110,Luật Kinh tế (CTĐT Luật Kinh doanh),phap_luat,
7420101,Sinh học,khoa_hoc_su_song,
7420201,Công nghệ sinh học (mới),khoa_hoc_su_song,
7420203,Sinh học ứng dụng,khoa_hoc_su_song,
7440102,Vật lí học (vật lí bán dẫn và kỹ thuật) (mới),khoa_hoc_tu_nhien,
7440112,Hóa học,khoa_hoc_tu_nhien,
7440122,Khoa học vật liệu tiên tiến và Công nghệ Nano,khoa_hoc_tu_nhien,
7440201,Địa chất học,khoa_hoc_tu_nhien,
7440221,Khí tượng và khí hậu học,khoa_hoc_tu_nhien,
7440222,Khí tượng và khí hậu học,khoa_hoc_tu_nhien,
7440224,Thủy văn học,khoa_hoc_tu_nhien,
7440229,Quản lý và phân tích dữ liệu khoa học,khoa_hoc_tu_nhien,
7440298,Biến đổi khí hậu và phát triển bền vững,khoa_hoc_tu_nhien,
7440301,Khoa học Môi trường ứng dụng,khoa_hoc_tu_nhien,
7460101,Toán học,toan_va_thong_ke,
7460108,Khoa học dữ liệu,toan_va_thong_ke,
7460112,Toán ứng dụng,toan_va_thong_ke,
7460117,Toán tin,toan_va_thong_ke,
7480101,Khoa học máy tính,cntt,
7480102,Mạng máy tính và Truyền thông dữ liệu,cntt,
7480103,Kỹ thuật phần mềm,cntt,
7480104,Hệ thống thông tin (Công nghệ thông tin),cntt,
7480106,Kỹ thuật máy tính,cntt,
7480107,Trí tuệ nhân tạo,cntt,
7480108,Công nghệ kỹ thuật máy tính,cntt,
7480109,Khoa học dữ liệu,cntt,
7480111,Tin học và Kỹ thuật máy tính,cntt,
7480201,Công nghệ thông tin,cntt,
7480202,An toàn thông tin,cntt,
7480206,Địa tin học,cntt,
7480207,Trí tuệ nhân tạo,cntt,
7480209,Công nghệ tài chính và Kinh doanh số,cntt,
7480210,Công nghệ thông tin ứng dụng,cntt,
7510102,Công nghệ kỹ thuật công trình xây dựng,dien_tu,
7510103,Công nghệ kỹ thuật xây dựng,dien_tu,
7510104,Công nghệ kỹ thuật giao thông,dien_tu,
7510105,Công nghệ kỹ thuật vật liệu xây dựng,dien_tu,
7510201,Công nghệ kỹ thuật cơ khí,dien_tu,
7510202,Công nghệ Chế tạo máy,dien_tu,
7510203,Công nghệ kỹ thuật cơ điện tử,dien_tu,
7510204,Công nghệ kỹ thuật cơ điện tử ô tô,dien_tu,
7510205,Công nghệ kỹ thuật Ô tô,dien_tu,
7510206,Công nghệ Kỹ thuật Nhiệt (Nhiệt – Điện lạnh),dien_tu,
7510209,Robot và trí tuệ nhân tạo,dien_tu,
7510213,Thiết kế cơ khí và kiểu dáng công nghiệp,dien_tu,
7510251,Kỹ thuật ô tô và năng lượng mới,dien_tu,
7510301,"Công nghệ kỹ thuật Điện, Điện tử",dien_tu,
7510302,Công nghệ kỹ thuật điện tử - viễn thông,dien_tu,
7510303,Công nghệ kỹ thuật điều khiển và tự động hóa,dien_tu,
7510306,Tự động hóa và Tin học,dien_tu,
7510401,Công nghệ kỹ thuật hóa học,dien_tu,
7510402,Công nghệ vật liệu,dien_tu,
7510403,Công nghệ kỹ thuật năng lượng,dien_tu,
7510406,Công nghệ kĩ thuật môi trường,dien_tu,
7510407,Công nghệ kỹ thuật hạt nhân,dien_tu,
7510601,Quản lý công nghiệp,dien_tu,
7510602,Quản lý năng lượng,dien_tu,
7510605,Logistics và Quản lý chuỗi cung ứng (*),dien_tu,
7519003,Công nghệ kỹ thuật khuôn mẫu,dien_tu,
7519004,Thiết kế cơ khí và kiểu dáng công nghiệp,dien_tu,
7519005,Công nghệ kỹ thuật cơ điện tử ô tô,dien_tu,
7519007,Năng lượng tái tạo,dien_tu,
7520101,Kỹ thuật cơ khí/ Máy xây dựng,ky_thuat,
7520103,Kỹ thuật cơ khí,ky_thuat,
7520107,Kỹ thuật Robot,ky_thuat,
7520114,Kỹ thuật cơ điện tử,ky_thuat,
7520115,Kỹ thuật nhiệt (Chuyên ngành Kỹ thuật nhiệt lạnh và điều hoà không khí),ky_thuat,
7520116,Kỹ thuật cơ khí động lực,ky_thuat,
7520117,Kỹ thuật công nghiệp,ky_thuat,
7520118,Kỹ thuật hệ thống công nghiệp,ky_thuat,
7520120,Kỹ thuật Hàng không,ky_thuat,
7520121,Kỹ thuật không gian,ky_thuat,
7520130,Kỹ thuật ô tô,ky_thuat,
7520139,Kỹ thuật hệ thống công nghiệp và Logistics,ky_thuat,
7520201,Kỹ thuật điện,ky_thuat,
7520207,"Kỹ thuật điện tử - viễn thông (Chuyên ngành: Kỹ thuật viễn thông, Kỹ thuật thông tin và truyền thông)",ky_thuat,
