major_code,subject_group_code
7329001,X06
7329001,X26
7340101,X06
7340101,X26
7340115,X06
7340115,X26
7340122,X06
7340122,X26
7340205,X06
7340205,X26
7340301,X06
7340301,X26
7480101,X06
7480101,X26
7480102,X06
7480102,X26
7480107,A00
7480107,A01
7480107,X06
7480107,X26
7510301,X06
7510301,X26
7520207,X26
7520216,X06
7520216,X26
7860220,A00
7860220,A01
QS,A00
QS,A01
QS,X06
HVN01,A00
HVN01,D01
HVN02,A00
HVN02,B00
HVN02,B08
HVN02,D01
HVN03,A00
HVN03,A01
HVN03,B00
HVN03,D01
HVN04,A00
HVN04,A01
HVN04,C01
HVN04,D01
HVN05,A00
HVN05,A01
HVN05,C01
HVN05,D01
HVN06,A00
HVN06,A09
HVN06,B00
HVN06,C20
HVN07,A00
HVN07,B00
HVN07,B08
HVN07,D01
HVN08,A00
HVN08,A01
HVN08,A09
HVN08,D01
HVN09,A00
HVN09,A01
HVN09,B00
HVN09,D01
HVN10,A00
HVN10,A09
HVN10,C20
HVN10,D01
HVN11,A00
HVN11,B00
HVN11,B08
HVN11,D07
HVN12,A00
HVN12,C04
HVN12,D01
HVN12,D10
HVN13,A00
HVN13,B00
HVN13,D01
HVN13,D10
HVN14,A00
HVN14,C00
HVN14,C20
HVN14,D01
HVN15,A00
HVN15,B00
HVN15,D01
HVN15,D07
HVN16,A00
HVN16,B00
HVN16,D01
HVN16,D07
HVN17,D01
HVN17,D07
HVN17,D14
HVN17,D15
HVN18,A00
HVN18,B00
HVN18,B08
HVN18,D01
HVN19,A00
HVN19,A01
HVN19,B00
HVN19,D01
HVN20,A00
HVN20,A09
HVN20,C20
HVN20,D01
HVN21,A00
HVN21,A09
HVN21,C20
HVN21,D01
HVN22,A00
HVN22,A01
HVN22,B00
HVN22,D01
HVN23,A00
HVN23,A01
HVN23,B00
HVN23,D01
HVN24,A00
HVN24,B00
HVN24,D01
HVN24,D07
HVN25,A00
HVN25,C00
HVN25,C20
HVN25,D01
HVN01,A01
HVN01,B00
HVN09,D07
HVN11,D01
HVN03,A09
HVN04,A09
HVN05,A09
HVN06,A01
HVN06,D01
HVN07,A09
HVN07,C20
HVN08,C20
HVN09,B08
HVN10,B00
HVN10,D07
HVN11,C04
HVN12,A09
HVN12,C00
HVN12,C20
HVN13,A09
HVN13,C00
HVN13,C20
HVN14,A01
HVN14,A09
HVN15,A01
HVN16,A01
HVN18,A01
HVN14,D07
HVN01,C03
HVN01,C04
HVN01,D07
HVN01,X01
HVN01,X07
HVN01,X08
HVN02,A01
HVN02,C03
HVN02,C04
HVN02,D07
HVN02,X01
HVN02,X03
HVN02,X04
HVN03,C03
HVN03,C04
HVN03,D07
HVN03,X01
HVN03,X07
HVN03,X08
HVN04,C02
HVN04,C03
HVN04,C04
HVN04,X01
HVN04,X07
HVN04,X08
HVN05,C02
HVN05,C03
HVN05,C04
HVN05,X01
HVN05,X07
HVN05,X08
HVN06,C01
HVN06,C02
HVN06,C03
HVN06,C04
HVN06,X01
HVN06,X07
HVN06,X08
HVN07,A01
HVN07,A07
HVN07,C01
HVN07,C02
HVN07,C03
HVN07,C04
HVN07,X01
HVN08,A07
HVN08,C01
HVN08,C02
HVN08,C03
HVN08,C04
HVN08,X01
HVN09,B02
HVN09,C03
HVN09,X07
HVN09,X08
HVN09,X13
HVN10,A01
HVN10,C03
HVN10,C04
HVN10,X01
HVN10,X07
HVN10,X08
HVN11,A01
HVN11,A07
HVN11,C01
HVN11,C02
HVN11,C03
HVN11,X01
HVN12,C01
HVN12,C03
HVN12,D14
HVN12,D15
HVN12,X03
HVN12,X04
HVN12,X70
HVN12,X74
HVN13,C01
HVN13,C03
HVN13,D14
HVN13,D15
HVN13,X03
HVN13,X04
HVN13,X70
HVN13,X74
HVN14,C01
HVN14,C02
HVN14,C03
HVN14,X02
HVN14,X03
HVN14,X04
HVN14,X07
HVN14,X08
HVN15,A07
HVN15,C01
HVN15,C02
HVN15,C03
HVN15,C04
HVN15,X01
HVN16,C03
HVN16,C04
HVN16,X01
HVN16,X07
HVN16,X08
HVN17,A01
HVN17,D09
HVN17,D10
HVN17,D11
HVN17,X25
HVN17,X78
HVN18,C01
HVN18,C02
HVN18,C03
HVN18,X03
HVN18,X04
HVN18,X07
HVN18,X08
HVN19,A07
HVN19,C01
HVN19,C02
HVN19,C03
HVN19,C04
HVN19,X01
7310206,A00
7310206,A01
7310206,D03
7310206,D04
7320107,A00
7320107,C00
7320107,D03
7320107,D04
7340120,A00
7340120,A01
7340120,D01
7380108,A00
7380108,A01
7380108,C00
7380108,D01
HQT01,A01
HQT01,D01
HQT01,D06
HQT01,D07
HQT01,D03
HQT01,D04
HQT01,C00
HQT02,A01
HQT02,D01
HQT02,D07
HQT03,A00
HQT03,A01
HQT03,D01
HQT03,D06
HQT03,D07
HQT03,D03
HQT03,D04
HQT04,A01
HQT04,D01
HQT04,D06
HQT04,D07
HQT04,D03
HQT04,D04
HQT04,C00
HQT05,A01
HQT05,D01
HQT05,D06
HQT05,D07
HQT05,D03
