admission_option_id,subject_group_code
c0e55c54-201e-5e34-8d83-378263384eb3,D01
c0e55c54-201e-5e34-8d83-378263384eb3,X25
56da92c9-9214-5838-9f22-3d30888fe348,C00
56da92c9-9214-5838-9f22-3d30888fe348,C03
56da92c9-9214-5838-9f22-3d30888fe348,C04
56da92c9-9214-5838-9f22-3d30888fe348,D01
56da92c9-9214-5838-9f22-3d30888fe348,D14
56da92c9-9214-5838-9f22-3d30888fe348,D15
56da92c9-9214-5838-9f22-3d30888fe348,X01
6ae07362-e40c-5371-b8d0-a890172915f5,C00
6ae07362-e40c-5371-b8d0-a890172915f5,C03
6ae07362-e40c-5371-b8d0-a890172915f5,C04
6ae07362-e40c-5371-b8d0-a890172915f5,D01
6ae07362-e40c-5371-b8d0-a890172915f5,D14
6ae07362-e40c-5371-b8d0-a890172915f5,D15
6ae07362-e40c-5371-b8d0-a890172915f5,X01
a9a69a88-e3c6-5a88-8525-ed8a19e20141,Q01
f0566f58-ffe6-5d8f-a8e2-7003d1df2827,A00
f0566f58-ffe6-5d8f-a8e2-7003d1df2827,A02
f0566f58-ffe6-5d8f-a8e2-7003d1df2827,B00
2c61cf86-9f2e-56df-bfad-8a8ec37cd9ac,A00
2c61cf86-9f2e-56df-bfad-8a8ec37cd9ac,A01
2c61cf86-9f2e-56df-bfad-8a8ec37cd9ac,D01
2c61cf86-9f2e-56df-bfad-8a8ec37cd9ac,D07
8af645e0-97c3-5f99-a101-987f84332c0c,A00
8af645e0-97c3-5f99-a101-987f84332c0c,B00
8af645e0-97c3-5f99-a101-987f84332c0c,C02
8af645e0-97c3-5f99-a101-987f84332c0c,D07
8af645e0-97c3-5f99-a101-987f84332c0c,K00
fa21ebfd-cf1c-5ef3-87fc-629ffc76f0de,A00
fa21ebfd-cf1c-5ef3-87fc-629ffc76f0de,B00
fa21ebfd-cf1c-5ef3-87fc-629ffc76f0de,C02
fa21ebfd-cf1c-5ef3-87fc-629ffc76f0de,D07
b4943771-9a30-53ca-b6e8-4b70b4ca20e6,A01
b4943771-9a30-53ca-b6e8-4b70b4ca20e6,C03
b4943771-9a30-53ca-b6e8-4b70b4ca20e6,D01
b4943771-9a30-53ca-b6e8-4b70b4ca20e6,X25
86191103-d33f-5a6e-b2b3-9a0289639c3c,K00
86191103-d33f-5a6e-b2b3-9a0289639c3c,Q00
18fdf33d-627e-579f-912a-c78dfcb781ec,A01
18fdf33d-627e-579f-912a-c78dfcb781ec,C03
18fdf33d-627e-579f-912a-c78dfcb781ec,D01
18fdf33d-627e-579f-912a-c78dfcb781ec,X25
8640ea51-1a85-5734-a10f-4718df7631b0,A01
8640ea51-1a85-5734-a10f-4718df7631b0,D01
8640ea51-1a85-5734-a10f-4718df7631b0,D07
8640ea51-1a85-5734-a10f-4718df7631b0,D09
8640ea51-1a85-5734-a10f-4718df7631b0,D10
8640ea51-1a85-5734-a10f-4718df7631b0,X25
8640ea51-1a85-5734-a10f-4718df7631b0,X26
8640ea51-1a85-5734-a10f-4718df7631b0,X27
8640ea51-1a85-5734-a10f-4718df7631b0,X28
df3996bd-bd78-55d4-9765-fbdf7f5515a8,A01
df3996bd-bd78-55d4-9765-fbdf7f5515a8,D01
df3996bd-bd78-55d4-9765-fbdf7f5515a8,D07
df3996bd-bd78-55d4-9765-fbdf7f5515a8,D09
df3996bd-bd78-55d4-9765-fbdf7f5515a8,D10
df3996bd-bd78-55d4-9765-fbdf7f5515a8,K00
df3996bd-bd78-55d4-9765-fbdf7f5515a8,Q00
df3996bd-bd78-55d4-9765-fbdf7f5515a8,X25
df3996bd-bd78-55d4-9765-fbdf7f5515a8,X26
df3996bd-bd78-55d4-9765-fbdf7f5515a8,X27
df3996bd-bd78-55d4-9765-fbdf7f5515a8,X28
932ddb1d-16df-5e09-8be7-96aa66b3d97b,A01
932ddb1d-16df-5e09-8be7-96aa66b3d97b,D01
932ddb1d-16df-5e09-8be7-96aa66b3d97b,D07
932ddb1d-16df-5e09-8be7-96aa66b3d97b,D09
932ddb1d-16df-5e09-8be7-96aa66b3d97b,D10
932ddb1d-16df-5e09-8be7-96aa66b3d97b,X25
932ddb1d-16df-5e09-8be7-96aa66b3d97b,X26
932ddb1d-16df-5e09-8be7-96aa66b3d97b,X27
932ddb1d-16df-5e09-8be7-96aa66b3d97b,X28
4ce4fe00-ed1f-5b0e-a01a-3a06abb13122,A01
4ce4fe00-ed1f-5b0e-a01a-3a06abb13122,D01
4ce4fe00-ed1f-5b0e-a01a-3a06abb13122,D07
4ce4fe00-ed1f-5b0e-a01a-3a06abb13122,D09
4ce4fe00-ed1f-5b0e-a01a-3a06abb13122,D10
4ce4fe00-ed1f-5b0e-a01a-3a06abb13122,X25
4ce4fe00-ed1f-5b0e-a01a-3a06abb13122,X26
4ce4fe00-ed1f-5b0e-a01a-3a06abb13122,X27
4ce4fe00-ed1f-5b0e-a01a-3a06abb13122,X28
400168a9-551e-5ff0-aaec-0edf836492b5,A00
400168a9-551e-5ff0-aaec-0edf836492b5,A01
400168a9-551e-5ff0-aaec-0edf836492b5,X06
e1434039-29c0-5c27-921b-f22e89a1cf0b,A00
e1434039-29c0-5c27-921b-f22e89a1cf0b,A01
e1434039-29c0-5c27-921b-f22e89a1cf0b,A04
e1434039-29c0-5c27-921b-f22e89a1cf0b,A07
e1434039-29c0-5c27-921b-f22e89a1cf0b,B03
e1434039-29c0-5c27-921b-f22e89a1cf0b,C01
e1434039-29c0-5c27-921b-f22e89a1cf0b,C02
e1434039-29c0-5c27-921b-f22e89a1cf0b,C03
e1434039-29c0-5c27-921b-f22e89a1cf0b,C04
e1434039-29c0-5c27-921b-f22e89a1cf0b,D01
e1434039-29c0-5c27-921b-f22e89a1cf0b,D10
e1434039-29c0-5c27-921b-f22e89a1cf0b,X01
e1434039-29c0-5c27-921b-f22e89a1cf0b,X21
e1434039-29c0-5c27-921b-f22e89a1cf0b,X25
4e9322f7-5d65-5e4b-bd33-d74fc457f2e6,K00
4e9322f7-5d65-5e4b-bd33-d74fc457f2e6,Q00
7768e109-04e1-579a-9d11-ba83023b2b57,A00
7768e109-04e1-579a-9d11-ba83023b2b57,A01
7768e109-04e1-579a-9d11-ba83023b2b57,D01
7768e109-04e1-579a-9d11-ba83023b2b57,D07
858791e9-98d7-53ef-bd65-3521f27b4f72,A00
858791e9-98d7-53ef-bd65-3521f27b4f72,C01
858791e9-98d7-53ef-bd65-3521f27b4f72,C02
858791e9-98d7-53ef-bd65-3521f27b4f72,D01
858791e9-98d7-53ef-bd65-3521f27b4f72,X03
858791e9-98d7-53ef-bd65-3521f27b4f72,X04
ffce4e66-a68e-5099-b31a-ae589df64700,Q00
b98cc4d7-86dd-5571-8ac4-fb4c2231831d,A01
b98cc4d7-86dd-5571-8ac4-fb4c2231831d,D01
b98cc4d7-86dd-5571-8ac4-fb4c2231831d,D05
b98cc4d7-86dd-5571-8ac4-fb4c2231831d,D07
b98cc4d7-86dd-5571-8ac4-fb4c2231831d,D08
b98cc4d7-86dd-5571-8ac4-fb4c2231831d,D14
b98cc4d7-86dd-5571-8ac4-fb4c2231831d,D15
b98cc4d7-86dd-5571-8ac4-fb4c2231831d,D41
b98cc4d7-86dd-5571-8ac4-fb4c2231831d,D61
44447d51-d516-5e07-aafc-317ec8300e4d,A01
44447d51-d516-5e07-aafc-317ec8300e4d,D01
44447d51-d516-5e07-aafc-317ec8300e4d,D05
44447d51-d516-5e07-aafc-317ec8300e4d,D07
44447d51-d516-5e07-aafc-317ec8300e4d,D08
44447d51-d516-5e07-aafc-317ec8300e4d,D14
44447d51-d516-5e07-aafc-317ec8300e4d,D15
44447d51-d516-5e07-aafc-317ec8300e4d,D41
44447d51-d516-5e07-aafc-317ec8300e4d,D61
448b2991-5f5d-5c09-8df2-2ae34af3fbff,A00
448b2991-5f5d-5c09-8df2-2ae34af3fbff,A01
448b2991-5f5d-5c09-8df2-2ae34af3fbff,C01
448b2991-5f5d-5c09-8df2-2ae34af3fbff,Q00
448b2991-5f5d-5c09-8df2-2ae34af3fbff,X06
e63087b4-ac78-55fb-8043-046f286d3ef0,A00
e63087b4-ac78-55fb-8043-046f286d3ef0,A01
e63087b4-ac78-55fb-8043-046f286d3ef0,C01
e63087b4-ac78-55fb-8043-046f286d3ef0,X06
823bd325-7851-57cd-a568-3e7c5a6c067b,A00
823bd325-7851-57cd-a568-3e7c5a6c067b,A01
823bd325-7851-57cd-a568-3e7c5a6c067b,D01
823bd325-7851-57cd-a568-3e7c5a6c067b,D10
823bd325-7851-57cd-a568-3e7c5a6c067b,X02
823bd325-7851-57cd-a568-3e7c5a6c067b,X05
823bd325-7851-57cd-a568-3e7c5a6c067b,X06
823bd325-7851-57cd-a568-3e7c5a6c067b,X26
b8694bb4-4ff5-53da-895c-599ed0d01dcb,K00
b8694bb4-4ff5-53da-895c-599ed0d01dcb,Q00
86b4c869-6dda-5119-9838-4474c64f4373,A00
86b4c869-6dda-5119-9838-4474c64f4373,A01
86b4c869-6dda-5119-9838-4474c64f4373,D01
86b4c869-6dda-5119-9838-4474c64f4373,D10
86b4c869-6dda-5119-9838-4474c64f4373,X02
86b4c869-6dda-5119-9838-4474c64f4373,X05
86b4c869-6dda-5119-9838-4474c64f4373,X06
86b4c869-6dda-5119-9838-4474c64f4373,X26
2a21b184-f49a-517f-8a9c-c1600bcafe85,K00
