code,name,description
THPT,Ket qua thi THPT Quoc gia,
HSA,Xet hoc ba THPT,
DGNL_HN,Danh gia nang luc DHQG Ha Noi,
DGNL_HCM,Danh gia nang luc DHQG TP.HCM,
DGTD,Danh gia tu duy,
KH,Xet tuyen ket hop,
XTT,Xet tuyen thang,
OTHER,Phuong thuc khac,
HBA,Xet hoc ba THPT,
