university_short_name,old_program_id,old_program_code,canonical_program_id,effective_from_year,effective_to_year,reason,is_verified
BKA,47ad5d81-d9c1-5106-9aa5-90335551f726,EM1y,dd18edfd-b78c-5d43-9d32-0c161d04b36d,,,Dữ liệu quá khứ (Mã nhánh/Biến thể),false
BKA,ed424a82-d602-5021-9d8b-3a9869fc9d81,EM2x,14f40c67-150b-5621-ab96-4b8f3f8f3d0e,,,Dữ liệu quá khứ (Mã nhánh/Biến thể),false
BKA,4abfe38c-32d3-50c2-9209-121c0c547833,EM2y,14f40c67-150b-5621-ab96-4b8f3f8f3d0e,,,Dữ liệu quá khứ (Mã nhánh/Biến thể),false
BKA,ec318003-b8c5-513e-899b-e21044893ead,EM3x,80cd47b7-cea3-5814-aabb-6776a8b76b15,,,Dữ liệu quá khứ (Mã nhánh/Biến thể),false
BKA,1e6868d0-193c-5cc8-a4eb-bf58117e2e74,EM3y,80cd47b7-cea3-5814-aabb-6776a8b76b15,,,Dữ liệu quá khứ (Mã nhánh/Biến thể),false
BKA,9df6c3c9-6c71-56fb-9c4c-2fa844c5dbdc,EM4,2abec823-fd20-5513-9e5f-fff36c513cd1,,,Dữ liệu quá khứ (Mã nhánh/Biến thể),false
BKA,1dbf9300-e672-5df3-9e7b-9f80592928ff,EM4x,2abec823-fd20-5513-9e5f-fff36c513cd1,,,Dữ liệu quá khứ (Mã nhánh/Biến thể),false
BKA,cc2edd99-b483-5a81-9bf0-1700cb02aca4,EM4y,2abec823-fd20-5513-9e5f-fff36c513cd1,,,Dữ liệu quá khứ (Mã nhánh/Biến thể),false
BKA,6085ed58-987e-5217-a795-9ae3f00109fe,EM5x,dec2e16a-7a7f-5f69-b837-e604c604091e,,,Dữ liệu quá khứ (Mã nhánh/Biến thể),false
BKA,42f52399-7de8-5585-bf51-df831b40f043,EM5y,dec2e16a-7a7f-5f69-b837-e604c604091e,,,Dữ liệu quá khứ (Mã nhánh/Biến thể),false
BKA,be4c3071-81cf-5955-871c-a0e60a15e7d3,ET-E16x,63739aee-ed6c-50fe-844f-df91a0a05f1e,,,Dữ liệu quá khứ (Mã nhánh/Biến thể),false
BKA,7656fbce-5a55-5d1f-924e-690e15d80024,ET-E16y,63739aee-ed6c-50fe-844f-df91a0a05f1e,,,Dữ liệu quá khứ (Mã nhánh/Biến thể),false
BKA,c2cfcd82-2c10-56ee-8515-eba59e616cc0,ET-E4x,c6fd3f45-48b7-5428-9382-4d8da34d3311,,,Dữ liệu quá khứ (Mã nhánh/Biến thể),false
BKA,eed3cc14-8cd8-51df-a932-5db1c6b2e96f,ET-E4y,c6fd3f45-48b7-5428-9382-4d8da34d3311,,,Dữ liệu quá khứ (Mã nhánh/Biến thể),false
BKA,cf0e5f19-7129-5b78-8ee8-dfd0f0ebd9fd,ET-E5x,1122c5ae-124b-55e3-8044-3aab4f1cab29,,,Dữ liệu quá khứ (Mã nhánh/Biến thể),false
BKA,a6c22b68-bc0b-553e-a743-caaa0d0a3c04,ET-E5y,1122c5ae-124b-55e3-8044-3aab4f1cab29,,,Dữ liệu quá khứ (Mã nhánh/Biến thể),false
BKA,bcbf17fc-1073-55f7-929d-368e507f7dc4,ET-E9x,34c9c0b5-319a-5c6d-8343-7f072bea0c6f,,,Dữ liệu quá khứ (Mã nhánh/Biến thể),false
BKA,7adc0808-8b54-5ae0-b11e-225c9a89f6e5,ET-E9y,34c9c0b5-319a-5c6d-8343-7f072bea0c6f,,,Dữ liệu quá khứ (Mã nhánh/Biến thể),false
BKA,b38235a8-c677-5db9-903f-a569e20de62e,ET-LUHX,9c3d32ba-5ef5-59e3-9abf-8209e44b06de,,,Dữ liệu quá khứ (Mã nhánh/Biến thể),false
BKA,4b56aeb4-a5ce-5575-88c3-c7333bdf3006,ET-LUHY,9c3d32ba-5ef5-59e3-9abf-8209e44b06de,,,Dữ liệu quá khứ (Mã nhánh/Biến thể),false
BKA,96dfd6f0-4cea-51be-a80a-4637fae88ffe,ET1x,cc6b4ceb-9396-5344-88aa-45536abb8a92,,,Dữ liệu quá khứ (Mã nhánh/Biến thể),false
BKA,c542680a-2038-57ec-ad4f-babfe2faab15,ET1y,cc6b4ceb-9396-5344-88aa-45536abb8a92,,,Dữ liệu quá khứ (Mã nhánh/Biến thể),false
BKA,610d6f08-08ab-5426-b572-8a20d6c6bb95,ET2x,7d4ae544-b6ac-5774-be81-67385cadd8c6,,,Dữ liệu quá khứ (Mã nhánh/Biến thể),false
BKA,1e92f4e6-425e-5047-baa0-f72bb055c570,ET2y,7d4ae544-b6ac-5774-be81-67385cadd8c6,,,Dữ liệu quá khứ (Mã nhánh/Biến thể),false
BKA,0d1c4f4f-9498-5847-a598-394b5f63684e,EV1x,3ee7e108-0f12-5526-aa0c-9d98e853443f,,,Dữ liệu quá khứ (Mã nhánh/Biến thể),false
BKA,b92a6c80-2f19-5749-920a-9529863898c2,EV1y,3ee7e108-0f12-5526-aa0c-9d98e853443f,,,Dữ liệu quá khứ (Mã nhánh/Biến thể),false
BKA,6bd25b59-f349-5cc7-ae73-7d9550c9c2b8,EV2x,27f6d74e-bd56-5416-8621-33f18177ccf8,,,Dữ liệu quá khứ (Mã nhánh/Biến thể),false
BKA,e88e1791-d920-5a89-ad66-07bf5312bb8e,EV2y,27f6d74e-bd56-5416-8621-33f18177ccf8,,,Dữ liệu quá khứ (Mã nhánh/Biến thể),false
BKA,f89aecab-9302-509d-9395-c86c01600716,FL1x,d55efb80-dbf7-503d-bcd5-b56a90376f72,,,Dữ liệu quá khứ (Mã nhánh/Biến thể),false
BKA,1bef31db-341a-563a-adb9-52f26d466c30,FL1y,d55efb80-dbf7-503d-bcd5-b56a90376f72,,,Dữ liệu quá khứ (Mã nhánh/Biến thể),false
BKA,e0c415dd-7d08-5250-9f27-84ffe238507d,FL2x,18d42dcb-4ab0-5152-8df2-50681fe75c6c,,,Dữ liệu quá khứ (Mã nhánh/Biến thể),false
BKA,ad961b00-a876-595c-b743-76c82238bcb8,FL2y,18d42dcb-4ab0-5152-8df2-50681fe75c6c,,,Dữ liệu quá khứ (Mã nhánh/Biến thể),false
BKA,13c4e368-019b-5132-93a1-097f28f3cb77,HE1x,79baf835-2e47-5f05-b0f2-e8513962171d,,,Dữ liệu quá khứ (Mã nhánh/Biến thể),false
BKA,7318a13a-fc7c-5fa7-a273-2e23dec35448,HE1y,79baf835-2e47-5f05-b0f2-e8513962171d,,,Dữ liệu quá khứ (Mã nhánh/Biến thể),false
BKA,36a3ef45-df2c-509d-a897-1edbf599a754,IT-E10x,873473f9-de51-5357-9b31-6209df1671ff,,,Dữ liệu quá khứ (Mã nhánh/Biến thể),false
BKA,271ce317-4278-540f-bf55-0fbb2a3a2cdf,IT-E15x,39be5a18-2e0e-58c8-9c62-214c9af71462,,,Dữ liệu quá khứ (Mã nhánh/Biến thể),false
BKA,f54a4f0a-358c-554c-b3f6-0ed01df85e5b,IT-E6x,e2f39d4f-face-50d6-8da8-65a078f357b2,,,Dữ liệu quá khứ (Mã nhánh/Biến thể),false
BKA,43c61649-a53f-5669-9e09-2542e19ea671,IT-E6y,e2f39d4f-face-50d6-8da8-65a078f357b2,,,Dữ liệu quá khứ (Mã nhánh/Biến thể),false
BKA,fad76f6a-431b-57b8-bd32-0aa0a2114ba4,IT-E7x,69688848-6850-591d-88cd-9d8fd09de60c,,,Dữ liệu quá khứ (Mã nhánh/Biến thể),false
BKA,10fbcc24-d075-5363-8b45-c84aabf7569e,IT-Epx,202dfc34-5a2c-5b5c-8181-3744b943641d,,,Dữ liệu quá khứ (Mã nhánh/Biến thể),false
BKA,b60b6925-1915-5b2b-b6ff-827efe1ecb9d,IT1x,951ec60c-e9de-5777-a102-db51088af9a6,,,Dữ liệu quá khứ (Mã nhánh/Biến thể),false
BKA,4fc1e9f0-db1b-5b70-a037-b5c173164420,IT2x,08dd2f4c-e1c5-5bf8-b81d-c0b770a60a83,,,Dữ liệu quá khứ (Mã nhánh/Biến thể),false
BKA,f299e13b-c94c-510d-8ba4-546dbd4d2457,IT2y,08dd2f4c-e1c5-5bf8-b81d-c0b770a60a83,,,Dữ liệu quá khứ (Mã nhánh/Biến thể),false
BKA,9827e2e7-df5a-579c-a02a-1b1acc89055a,ME-E1x,39a2b6d3-4529-5afb-86a2-66ab0b695e63,,,Dữ liệu quá khứ (Mã nhánh/Biến thể),false
BKA,05eb0044-9615-55f4-ab60-2f9dd98efedc,ME-E1y,39a2b6d3-4529-5afb-86a2-66ab0b695e63,,,Dữ liệu quá khứ (Mã nhánh/Biến thể),false
BKA,034783d5-01b3-511a-bef4-68f0e44e17f1,ME-LUHx,1301195c-d702-5223-9abf-5aeb4abdac5e,,,Dữ liệu quá khứ (Mã nhánh/Biến thể),false
BKA,d18da9e5-b5bf-5a89-893a-19b97f5d64fe,ME-LUHy,1301195c-d702-5223-9abf-5aeb4abdac5e,,,Dữ liệu quá khứ (Mã nhánh/Biến thể),false
BKA,287274fc-39c8-5a64-b726-cc0ab91afd4a,ME-NUTx,d846f8fd-17e0-5575-902e-f473fdefb9b7,,,Dữ liệu quá khứ (Mã nhánh/Biến thể),false
BKA,10a17ef1-fe80-5f76-a654-bd700714843e,ME-NUTy,d846f8fd-17e0-5575-902e-f473fdefb9b7,,,Dữ liệu quá khứ (Mã nhánh/Biến thể),false
BKA,9a101642-d650-58e0-b604-e9243cd37f45,ME1x,30ae3985-f5bf-5bb8-88f5-8839359338b4,,,Dữ liệu quá khứ (Mã nhánh/Biến thể),false
BKA,d97e6ea2-2173-5161-a461-932ddb5c01a4,ME1y,30ae3985-f5bf-5bb8-88f5-8839359338b4,,,Dữ liệu quá khứ (Mã nhánh/Biến thể),false
BKA,c9a59150-e038-5672-a2dd-38948652dbf8,ME2x,d87ac3c3-196b-59d8-bb43-b9702e92150f,,,Dữ liệu quá khứ (Mã nhánh/Biến thể),false
BKA,d87f3457-1d92-5cfd-a0bc-d0e517ac87c3,ME2y,d87ac3c3-196b-59d8-bb43-b9702e92150f,,,Dữ liệu quá khứ (Mã nhánh/Biến thể),false
BKA,6ff45063-dd23-5c1b-bba8-638247d495f8,MI1x,64c10856-1ba3-524c-b626-80cbe8e45b42,,,Dữ liệu quá khứ (Mã nhánh/Biến thể),false
BKA,3c074b14-9ddb-50bf-8aa6-486524b9f809,MI1y,64c10856-1ba3-524c-b626-80cbe8e45b42,,,Dữ liệu quá khứ (Mã nhánh/Biến thể),false
BKA,74fafd3c-8e5b-5565-b388-71d07ffd7889,MI2x,7476a86b-0441-5f20-bcac-f9517aff5bb7,,,Dữ liệu quá khứ (Mã nhánh/Biến thể),false
BKA,701f3478-f576-5380-b581-190506f33df6,MI2y,7476a86b-0441-5f20-bcac-f9517aff5bb7,,,Dữ liệu quá khứ (Mã nhánh/Biến thể),false
BKA,7af61b29-c607-5e30-96d6-3e0d00120b7d,MS-E3x,39369f61-9978-5fcd-8af6-42dafe41457c,,,Dữ liệu quá khứ (Mã nhánh/Biến thể),false
BKA,7cc61526-4ed2-58b1-98c2-cb759bbe900a,MS-E3y,39369f61-9978-5fcd-8af6-42dafe41457c,,,Dữ liệu quá khứ (Mã nhánh/Biến thể),false
BKA,a9f926ff-785a-5cdb-9a16-2a57e8539ef2,MS1x,cfa9b495-459d-554c-bd13-a000b155a470,,,Dữ liệu quá khứ (Mã nhánh/Biến thể),false
BKA,fa084775-9026-541f-8987-6d44749ddcad,MS1y,cfa9b495-459d-554c-bd13-a000b155a470,,,Dữ liệu quá khứ (Mã nhánh/Biến thể),false
BKA,85e38b66-4413-5bb4-ac75-f3d62d5091d1,PH1x,5ba166f4-f3b7-5971-93b1-46821d73a9f4,,,Dữ liệu quá khứ (Mã nhánh/Biến thể),false
BKA,f2df8a32-1bc9-5c16-836b-6aef9c51cc7f,PH1y,5ba166f4-f3b7-5971-93b1-46821d73a9f4,,,Dữ liệu quá khứ (Mã nhánh/Biến thể),false
BKA,5070d29b-878b-54c0-bd17-557aad97f385,PH2x,974caaf9-11d3-53ab-8a46-a9dd6e493d7a,,,Dữ liệu quá khứ (Mã nhánh/Biến thể),false
BKA,0d69e060-f566-5a37-8648-54186fecac24,PH2y,974caaf9-11d3-53ab-8a46-a9dd6e493d7a,,,Dữ liệu quá khứ (Mã nhánh/Biến thể),false
BKA,fd64b3fe-e98e-5e52-91ae-b64a5085dad6,PH3x,b46bd8b1-6331-50af-a12d-f98fcda30041,,,Dữ liệu quá khứ (Mã nhánh/Biến thể),false
BKA,14936033-0ce7-59d7-91e6-6ef5367b7557,PH3y,b46bd8b1-6331-50af-a12d-f98fcda30041,,,Dữ liệu quá khứ (Mã nhánh/Biến thể),false
BKA,bc15f7ac-93fa-58a6-ac23-958e0c83dc43,TE-E2x,d013dae4-52d0-597e-8908-eb1b84149e6e,,,Dữ liệu quá khứ (Mã nhánh/Biến thể),false
BKA,43fdbec3-cf31-536b-8cda-52ca0efe2bc5,TE-E2y,d013dae4-52d0-597e-8908-eb1b84149e6e,,,Dữ liệu quá khứ (Mã nhánh/Biến thể),false
