id,university_short_name,major_code,is_active,program_source_code,program_name,source,source_school_id,missing_reason,base_program_code,quota,canonical_program_id
6cec242a-153e-5fe0-af06-7d519d018bb1,BKA,CH1x,false,CH1x,Kỹ thuật Hóa học,tuyensinh247,302,Dữ liệu quá khứ (Mã nhánh/Biến thể),CH1,,3242531a-ec0f-5de6-940c-3f801877dd9e
c3c3e4a3-fa08-5881-b290-33ed42a1b4dc,BKA,CH2,true,CH2,Hóa học,tuyensinh247,302,,CH2,160,
a7c9e3c9-731e-5329-a8d5-68046eb81cf2,BKA,CH2x,false,CH2x,Hóa học,tuyensinh247,302,Dữ liệu quá khứ (Mã nhánh/Biến thể),CH2,,c3c3e4a3-fa08-5881-b290-33ed42a1b4dc
120817e2-3011-5ff0-b2cc-5a173a4728f5,BKA,CH2y,false,CH2y,Hóa học,tuyensinh247,302,Dữ liệu quá khứ (Mã nhánh/Biến thể),CH2,,c3c3e4a3-fa08-5881-b290-33ed42a1b4dc
8a15cf55-498c-5935-80a1-1cbca92fbbfe,BKA,CH3,false,CH3,Kỹ thuật In,tuyensinh247,302,Dữ liệu quá khứ (Mã nhánh/Biến thể),MS5,,4ae06dd5-3be7-59ee-a0cb-8e791379668a
c3b4aba8-fe15-56b3-a5e4-6c90538851b5,BKA,CH3x,false,CH3x,Kỹ thuật In,tuyensinh247,302,Dữ liệu quá khứ (Mã nhánh/Biến thể),MS5,,4ae06dd5-3be7-59ee-a0cb-8e791379668a
6f151169-56a3-58d5-9226-df05fcda7ce4,BKA,CH3y,false,CH3y,Kỹ thuật In,tuyensinh247,302,Dữ liệu quá khứ (Mã nhánh/Biến thể),MS5,,4ae06dd5-3be7-59ee-a0cb-8e791379668a
86c69125-926a-5a4c-b7f8-643c1d9e3be3,BKA,ED2,true,ED2,Công nghệ Giáo dục,tuyensinh247,302,,ED2,120,
1be5cfb0-bce7-5010-86c6-fc1be6f001a6,BKA,ED2x,false,ED2x,Công nghệ Giáo dục,tuyensinh247,302,Dữ liệu quá khứ (Mã nhánh/Biến thể),ED2,,86c69125-926a-5a4c-b7f8-643c1d9e3be3
aa1dd761-0dc2-5fe0-a6dc-042632c2292f,BKA,ED2y,false,ED2y,Công nghệ Giáo dục,tuyensinh247,302,Dữ liệu quá khứ (Mã nhánh/Biến thể),ED2,,86c69125-926a-5a4c-b7f8-643c1d9e3be3
2c2d1f8a-77cc-51f9-bc8f-be2accc5a169,BKA,ED3,true,ED3,Quản lý Giáo dục,tuyensinh247,302,,ED3,60,
2ed0c21c-f437-5529-90ef-fd29ba7b8c4a,BKA,ED5,true,ED5,Tâm lý học công nghiệp và tổ chức (mới),tuyensinh247,,,ED5,40,
b077c2b6-8be9-5b7e-a026-4c055e6abc9c,BKA,EE-E18,true,EE-E18,Hệ thống điện và năng lượng tái tạo (CT tiên tiến),tuyensinh247,302,,EE-E18,60,
dc072043-005d-5b64-a75e-83659fdb36a8,BKA,EE-E18x,false,EE-E18x,Hệ thống điện và năng lượng tái tạo (CT tiên tiến),tuyensinh247,302,Dữ liệu quá khứ (Mã nhánh/Biến thể),EE-E18,,b077c2b6-8be9-5b7e-a026-4c055e6abc9c
f5f0622d-c174-598f-a8cc-c2ce3c55463a,BKA,EE-E18y,false,EE-E18y,Hệ thống điện và năng lượng tái tạo (CT tiên tiến),tuyensinh247,302,Dữ liệu quá khứ (Mã nhánh/Biến thể),EE-E18,,b077c2b6-8be9-5b7e-a026-4c055e6abc9c
4f27a172-e609-5803-803d-4c0dcfd2adf8,BKA,EE-E8,true,EE-E8,Kỹ thuật điều khiển-Tự động hóa (CT tiên tiến),tuyensinh247,302,,EE-E8,140,
7a0e9217-bd0f-5a54-b9d5-5ad2c7d6ee22,BKA,EE-E8x,false,EE-E8x,Kỹ thuật điều khiển-Tự động hóa (CT tiên tiến),tuyensinh247,302,Dữ liệu quá khứ (Mã nhánh/Biến thể),EE-E8,,4f27a172-e609-5803-803d-4c0dcfd2adf8
503ad278-66e1-52c1-997c-48a7393cbc21,BKA,EE-E8y,false,EE-E8y,Kỹ thuật điều khiển-Tự động hóa (CT tiên tiến),tuyensinh247,302,Dữ liệu quá khứ (Mã nhánh/Biến thể),EE-E8,,4f27a172-e609-5803-803d-4c0dcfd2adf8
eac617d3-cd33-5ead-b611-1d0b0417c54e,BKA,EE-EP,true,EE-EP,Tin học công nghiệp và Tự động hóa (CT Việt - Pháp PFIEV),tuyensinh247,302,,EE-EP,40,
8cca808e-8b2d-5b17-a358-3f02f0cb9cd4,BKA,EE1,true,EE1,Kỹ thuật điện,tuyensinh247,302,,EE1,240,
4c828cf2-5615-552e-8306-986b60e0e3d4,BKA,EE1x,false,EE1x,Kỹ thuật điện,tuyensinh247,302,Dữ liệu quá khứ (Mã nhánh/Biến thể),EE1,,8cca808e-8b2d-5b17-a358-3f02f0cb9cd4
4084f252-fd19-54d9-8bcb-3272d76c07a2,BKA,EE1y,false,EE1y,Kỹ thuật điện,tuyensinh247,302,Dữ liệu quá khứ (Mã nhánh/Biến thể),EE1,,8cca808e-8b2d-5b17-a358-3f02f0cb9cd4
f4ac0426-4dec-5365-aaea-3860e0f4c987,BKA,EE2,true,EE2,Kỹ thuật điều khiển & Tự động hóa,tuyensinh247,302,,EE2,500,
287d7f67-9a5c-533e-9919-cab8b8099b40,BKA,EE2X,false,EE2X,Kỹ thuật điều khiển & Tự động hóa,tuyensinh247,302,Dữ liệu quá khứ (Mã nhánh/Biến thể),EE2,,f4ac0426-4dec-5365-aaea-3860e0f4c987
4c529156-f02a-5284-a227-dc0f316a11c0,BKA,EE2y,false,EE2y,Kỹ thuật điều khiển & Tự động hóa,tuyensinh247,302,Dữ liệu quá khứ (Mã nhánh/Biến thể),EE2,,f4ac0426-4dec-5365-aaea-3860e0f4c987
55bd8c3d-a7ac-54e6-9744-24263e87e0b2,BKA,EM-E13,true,EM-E13,Phân tích Kinh doanh (CT tiên tiến),tuyensinh247,302,,EM-E13,140,
e8350870-858f-540c-bef1-212cf57d0311,BKA,EM-E13x,false,EM-E13x,Phân tích Kinh doanh (CT tiên tiến),tuyensinh247,302,Dữ liệu quá khứ (Mã nhánh/Biến thể),EM-E13,,55bd8c3d-a7ac-54e6-9744-24263e87e0b2
289912c6-2f4f-5ebd-92ed-cfbc29d84372,BKA,EM-E13y,false,EM-E13y,Phân tích Kinh doanh (CT tiên tiến),tuyensinh247,302,Dữ liệu quá khứ (Mã nhánh/Biến thể),EM-E13,,55bd8c3d-a7ac-54e6-9744-24263e87e0b2
b15a4b01-6577-5105-a08e-e01e4444ba37,BKA,EM-E14,true,EM-E14,Logistics và Quản lý chuỗi cung ứng (CT tiên tiến),tuyensinh247,302,,EM-E14,140,
c9b1190c-28dc-5f6b-a875-8723cde3a245,BKA,EM-E14x,false,EM-E14x,Logistics và Quản lý chuỗi cung ứng (CT tiên tiến),tuyensinh247,302,Dữ liệu quá khứ (Mã nhánh/Biến thể),EM-E14,,b15a4b01-6577-5105-a08e-e01e4444ba37
35c73e2b-ca98-5984-8787-4c76899ee674,BKA,EM-E14y,false,EM-E14y,Logistics và Quản lý chuỗi cung ứng (CT tiên tiến),tuyensinh247,302,Dữ liệu quá khứ (Mã nhánh/Biến thể),EM-E14,,b15a4b01-6577-5105-a08e-e01e4444ba37
2abec823-fd20-5513-9e5f-fff36c513cd1,BKA,EM-E17,true,EM-E17,Kế toán (mới) (CT tiên tiến),tuyensinh247,,,EM-E17,80,
dd18edfd-b78c-5d43-9d32-0c161d04b36d,BKA,EM1,true,EM1,Quản lý Năng lượng,tuyensinh247,302,,EM1,80,
8d348a61-5dbd-5ad0-9499-bc60e5e280d6,BKA,EM1x,false,EM1x,Quản lý Năng lượng,tuyensinh247,302,Dữ liệu quá khứ (Mã nhánh/Biến thể),EM1,,dd18edfd-b78c-5d43-9d32-0c161d04b36d
47ad5d81-d9c1-5106-9aa5-90335551f726,BKA,EM1y,false,EM1y,Quản lý Năng lượng,tuyensinh247,302,Dữ liệu quá khứ (Mã nhánh/Biến thể),EM1,,dd18edfd-b78c-5d43-9d32-0c161d04b36d
14f40c67-150b-5621-ab96-4b8f3f8f3d0e,BKA,EM2,true,EM2,Quản lý Công nghiệp,tuyensinh247,302,,EM2,100,
ed424a82-d602-5021-9d8b-3a9869fc9d81,BKA,EM2x,false,EM2x,Quản lý Công nghiệp,tuyensinh247,302,Dữ liệu quá khứ (Mã nhánh/Biến thể),EM2,,14f40c67-150b-5621-ab96-4b8f3f8f3d0e
4abfe38c-32d3-50c2-9209-121c0c547833,BKA,EM2y,false,EM2y,Quản lý Công nghiệp,tuyensinh247,302,Dữ liệu quá khứ (Mã nhánh/Biến thể),EM2,,14f40c67-150b-5621-ab96-4b8f3f8f3d0e
80cd47b7-cea3-5814-aabb-6776a8b76b15,BKA,EM3,true,EM3,Quản trị Kinh doanh,tuyensinh247,302,,EM3,120,
ec318003-b8c5-513e-899b-e21044893ead,BKA,EM3x,false,EM3x,Quản trị Kinh doanh,tuyensinh247,302,Dữ liệu quá khứ (Mã nhánh/Biến thể),EM3,,80cd47b7-cea3-5814-aabb-6776a8b76b15
1e6868d0-193c-5cc8-a4eb-bf58117e2e74,BKA,EM3y,false,EM3y,Quản trị Kinh doanh,tuyensinh247,302,Dữ liệu quá khứ (Mã nhánh/Biến thể),EM3,,80cd47b7-cea3-5814-aabb-6776a8b76b15
9df6c3c9-6c71-56fb-9c4c-2fa844c5dbdc,BKA,EM4,false,EM4,Kế toán (mới) (CT tiên tiến),tuyensinh247,302,Dữ liệu quá khứ (Mã nhánh/Biến thể),EM-E17,,2abec823-fd20-5513-9e5f-fff36c513cd1
1dbf9300-e672-5df3-9e7b-9f80592928ff,BKA,EM4x,false,EM4x,Kế toán (mới) (CT tiên tiến),tuyensinh247,302,Dữ liệu quá khứ (Mã nhánh/Biến thể),EM-E17,,2abec823-fd20-5513-9e5f-fff36c513cd1
cc2edd99-b483-5a81-9bf0-1700cb02aca4,BKA,EM4y,false,EM4y,Kế toán (mới) (CT tiên tiến),tuyensinh247,302,Dữ liệu quá khứ (Mã nhánh/Biến thể),EM-E17,,2abec823-fd20-5513-9e5f-fff36c513cd1
dec2e16a-7a7f-5f69-b837-e604c604091e,BKA,EM5,true,EM5,Tài chính-Ngân hàng,tuyensinh247,302,,EM5,100,
6085ed58-987e-5217-a795-9ae3f00109fe,BKA,EM5x,false,EM5x,Tài chính-Ngân hàng,tuyensinh247,302,Dữ liệu quá khứ (Mã nhánh/Biến thể),EM5,,dec2e16a-7a7f-5f69-b837-e604c604091e
42f52399-7de8-5585-bf51-df831b40f043,BKA,EM5y,false,EM5y,Tài chính-Ngân hàng,tuyensinh247,302,Dữ liệu quá khứ (Mã nhánh/Biến thể),EM5,,dec2e16a-7a7f-5f69-b837-e604c604091e
63739aee-ed6c-50fe-844f-df91a0a05f1e,BKA,ET-E16,true,ET-E16,Truyền thông số và Kỹ thuật đa phương tiện (CT tiên tiến),tuyensinh247,302,,ET-E16,60,
be4c3071-81cf-5955-871c-a0e60a15e7d3,BKA,ET-E16x,false,ET-E16x,Truyền thông số và Kỹ thuật đa phương tiện (CT tiên tiến),tuyensinh247,302,Dữ liệu quá khứ (Mã nhánh/Biến thể),ET-E16,,63739aee-ed6c-50fe-844f-df91a0a05f1e
7656fbce-5a55-5d1f-924e-690e15d80024,BKA,ET-E16y,false,ET-E16y,Truyền thông số và Kỹ thuật đa phương tiện (CT tiên tiến),tuyensinh247,302,Dữ liệu quá khứ (Mã nhánh/Biến thể),ET-E16,,63739aee-ed6c-50fe-844f-df91a0a05f1e
c6fd3f45-48b7-5428-9382-4d8da34d3311,BKA,ET-E4,true,ET-E4,Kỹ thuật Điện tử - Viễn thông (CT tiên tiến),tuyensinh247,302,,ET-E4,120,
c2cfcd82-2c10-56ee-8515-eba59e616cc0,BKA,ET-E4x,false,ET-E4x,Kỹ thuật Điện tử - Viễn thông (CT tiên tiến),tuyensinh247,302,Dữ liệu quá khứ (Mã nhánh/Biến thể),ET-E4,,c6fd3f45-48b7-5428-9382-4d8da34d3311
eed3cc14-8cd8-51df-a932-5db1c6b2e96f,BKA,ET-E4y,false,ET-E4y,Kỹ thuật Điện tử - Viễn thông (CT tiên tiến),tuyensinh247,302,Dữ liệu quá khứ (Mã nhánh/Biến thể),ET-E4,,c6fd3f45-48b7-5428-9382-4d8da34d3311
1122c5ae-124b-55e3-8044-3aab4f1cab29,BKA,ET-E5,true,ET-E5,Kỹ thuật Y sinh (CT tiên tiến),tuyensinh247,302,,ET-E5,40,
cf0e5f19-7129-5b78-8ee8-dfd0f0ebd9fd,BKA,ET-E5x,false,ET-E5x,Kỹ thuật Y sinh (CT tiên tiến),tuyensinh247,302,Dữ liệu quá khứ (Mã nhánh/Biến thể),ET-E5,,1122c5ae-124b-55e3-8044-3aab4f1cab29
a6c22b68-bc0b-553e-a743-caaa0d0a3c04,BKA,ET-E5y,false,ET-E5y,Kỹ thuật Y sinh (CT tiên tiến),tuyensinh247,302,Dữ liệu quá khứ (Mã nhánh/Biến thể),ET-E5,,1122c5ae-124b-55e3-8044-3aab4f1cab29
34c9c0b5-319a-5c6d-8343-7f072bea0c6f,BKA,ET-E9,true,ET-E9,Hệ thống nhúng thông minh và IoT (tăng cường tiếng Nhật),tuyensinh247,302,,ET-E9,80,
bcbf17fc-1073-55f7-929d-368e507f7dc4,BKA,ET-E9x,false,ET-E9x,Hệ thống nhúng thông minh và IoT (tăng cường tiếng Nhật),tuyensinh247,302,Dữ liệu quá khứ (Mã nhánh/Biến thể),ET-E9,,34c9c0b5-319a-5c6d-8343-7f072bea0c6f
7adc0808-8b54-5ae0-b11e-225c9a89f6e5,BKA,ET-E9y,false,ET-E9y,Hệ thống nhúng thông minh và IoT (tăng cường tiếng Nhật),tuyensinh247,302,Dữ liệu quá khứ (Mã nhánh/Biến thể),ET-E9,,34c9c0b5-319a-5c6d-8343-7f072bea0c6f
9c3d32ba-5ef5-59e3-9abf-8209e44b06de,BKA,ET-LUH,true,ET-LUH,Điện tử - Viễn thông - ĐH Leibniz Hannover (CHLB Đức),tuyensinh247,302,,ET-LUH,40,
b38235a8-c677-5db9-903f-a569e20de62e,BKA,ET-LUHX,false,ET-LUHX,Điện tử - Viễn thông - ĐH Leibniz Hannover (CHLB Đức),tuyensinh247,302,Dữ liệu quá khứ (Mã nhánh/Biến thể),ET-LUH,,9c3d32ba-5ef5-59e3-9abf-8209e44b06de
4b56aeb4-a5ce-5575-88c3-c7333bdf3006,BKA,ET-LUHY,false,ET-LUHY,Điện tử - Viễn thông - ĐH Leibniz Hannover (CHLB Đức),tuyensinh247,302,Dữ liệu quá khứ (Mã nhánh/Biến thể),ET-LUH,,9c3d32ba-5ef5-59e3-9abf-8209e44b06de
cc6b4ceb-9396-5344-88aa-45536abb8a92,BKA,ET1,true,ET1,Kỹ thuật Điện tử-Viễn thông,tuyensinh247,302,,ET1,480,
96dfd6f0-4cea-51be-a80a-4637fae88ffe,BKA,ET1x,false,ET1x,Kỹ thuật Điện tử-Viễn thông,tuyensinh247,302,Dữ liệu quá khứ (Mã nhánh/Biến thể),ET1,,cc6b4ceb-9396-5344-88aa-45536abb8a92
c542680a-2038-57ec-ad4f-babfe2faab15,BKA,ET1y,false,ET1y,Kỹ thuật Điện tử-Viễn thông,tuyensinh247,302,Dữ liệu quá khứ (Mã nhánh/Biến thể),ET1,,cc6b4ceb-9396-5344-88aa-45536abb8a92
7d4ae544-b6ac-5774-be81-67385cadd8c6,BKA,ET2,true,ET2,Kỹ thuật Y sinh,tuyensinh247,302,,ET2,100,
610d6f08-08ab-5426-b572-8a20d6c6bb95,BKA,ET2x,false,ET2x,Kỹ thuật Y sinh,tuyensinh247,302,Dữ liệu quá khứ (Mã nhánh/Biến thể),ET2,,7d4ae544-b6ac-5774-be81-67385cadd8c6
1e92f4e6-425e-5047-baa0-f72bb055c570,BKA,ET2y,false,ET2y,Kỹ thuật Y sinh,tuyensinh247,302,Dữ liệu quá khứ (Mã nhánh/Biến thể),ET2,,7d4ae544-b6ac-5774-be81-67385cadd8c6
3ee7e108-0f12-5526-aa0c-9d98e853443f,BKA,EV1,true,EV1,Kỹ thuật Môi trường,tuyensinh247,302,,EV1,160,
0d1c4f4f-9498-5847-a598-394b5f63684e,BKA,EV1x,false,EV1x,Kỹ thuật Môi trường,tuyensinh247,302,Dữ liệu quá khứ (Mã nhánh/Biến thể),EV1,,3ee7e108-0f12-5526-aa0c-9d98e853443f
b92a6c80-2f19-5749-920a-9529863898c2,BKA,EV1y,false,EV1y,Kỹ thuật Môi trường,tuyensinh247,302,Dữ liệu quá khứ (Mã nhánh/Biến thể),EV1,,3ee7e108-0f12-5526-aa0c-9d98e853443f
27f6d74e-bd56-5416-8621-33f18177ccf8,BKA,EV2,true,EV2,Quản lý Tài nguyên và Môi trường,tuyensinh247,302,,EV2,120,
6bd25b59-f349-5cc7-ae73-7d9550c9c2b8,BKA,EV2x,false,EV2x,Quản lý Tài nguyên và Môi trường,tuyensinh247,302,Dữ liệu quá khứ (Mã nhánh/Biến thể),EV2,,27f6d74e-bd56-5416-8621-33f18177ccf8
e88e1791-d920-5a89-ad66-07bf5312bb8e,BKA,EV2y,false,EV2y,Quản lý Tài nguyên và Môi trường,tuyensinh247,302,Dữ liệu quá khứ (Mã nhánh/Biến thể),EV2,,27f6d74e-bd56-5416-8621-33f18177ccf8
d55efb80-dbf7-503d-bcd5-b56a90376f72,BKA,FL1,true,FL1,Tiếng Anh KHKT và Công nghệ,tuyensinh247,302,,FL1,210,
f89aecab-9302-509d-9395-c86c01600716,BKA,FL1x,false,FL1x,Tiếng Anh KHKT và Công nghệ,tuyensinh247,302,Dữ liệu quá khứ (Mã nhánh/Biến thể),FL1,,d55efb80-dbf7-503d-bcd5-b56a90376f72
1bef31db-341a-563a-adb9-52f26d466c30,BKA,FL1y,false,FL1y,Tiếng Anh KHKT và Công nghệ,tuyensinh247,302,Dữ liệu quá khứ (Mã nhánh/Biến thể),FL1,,d55efb80-dbf7-503d-bcd5-b56a90376f72
18d42dcb-4ab0-5152-8df2-50681fe75c6c,BKA,FL2,true,FL2,Tiếng Anh chuyên nghiệp quốc tế (do ĐHBK Hà Nội và ĐH Plymouth Marjon - Vương quốc Anh cấp bằng),tuyensinh247,302,,FL2,90,
